artifact_id	plan_id	run_id	attack_protocol	dataset	victim_model	defense	protected_layer_count	source_ratio	training_mode	label_mode	query_transform	query_budget	query_train_size	query_validation_size	query_split_seed	query_sampler_seed	lr_step	protected_unit_count	protection_mask_sha256	protected_scalar_count	protected_param_count	total_param_count	protected_param_ratio	head_mode	primary_checkpoint	primary_epoch	selection_metric	validation_loss	validation_match	eval_count	victim_correct	surrogate_correct	agreement_count	victim_acc	surrogate_acc	fidelity	posterior_kl_sum	posterior_kl	metrics_path
deep_02	deep_02	193dbe649798	soft_query_validation_best_v1	c100	resnet18	deep	2	None	finetune	soft	test	500	400	100	42	42	60	8	a1c9b69d0a7a46bcb70ecf71e9a2fbb9f6056a1e32b16d5ad5611021156dace2		2411620	11227812	0.21478984507400017	replace	best.pth	87	validation_soft_cross_entropy	1.8807880878448486	0.51	10000	6182	4072	4845	0.6182	0.4072	0.4845	12084.503032684326	1.2084503032684326	results/MS/resnet18/c100/deep_02/metrics.json
deep_04	deep_04	c9166478d6f2	soft_query_validation_best_v1	c100	resnet18	deep	4	None	finetune	soft	test	500	400	100	42	42	60	20	9cee4296b9f60b4bc206988fdf226c4d66864da0fee40d2a0e5229c8347e5490		7132260	11227812	0.635231512604593	replace	best.pth	98	validation_soft_cross_entropy	2.466967821121216	0.4	10000	6182	3501	3918	0.6182	0.3501	0.3918	15965.681392669678	1.5965681392669677	results/MS/resnet18/c100/deep_04/metrics.json
deep_06	deep_06	3691c7620927	soft_query_validation_best_v1	c100	resnet18	deep	6	None	finetune	soft	test	500	400	100	42	42	60	38	448be736cb89ca57e5005db6ff21c1d5eab475620b5dd11cce2a6e4de54f0415		9035364	11227812	0.8047306100244642	replace	best.pth	93	validation_soft_cross_entropy	3.208873748779297	0.25	10000	6182	2474	2713	0.6182	0.2474	0.2713	22158.312355041504	2.2158312355041505	results/MS/resnet18/c100/deep_06/metrics.json
deep_08	deep_08	92278a38ce9d	soft_query_validation_best_v1	c100	resnet18	deep	8	None	finetune	soft	test	500	400	100	42	42	60	50	92e2b885a9c41b02a41ebbf61ede5bb53306943443f30303a4a2a6861a57714a		10216036	11227812	0.9098866279556516	replace	best.pth	88	validation_soft_cross_entropy	3.534860372543335	0.2	10000	6182	1956	2114	0.6182	0.1956	0.2114	25838.94825744629	2.583894825744629	results/MS/resnet18/c100/deep_08/metrics.json
deep_10	deep_10	265adf3bd76b	soft_query_validation_best_v1	c100	resnet18	deep	10	None	finetune	soft	test	500	400	100	42	42	60	68	d0c3c9df5ff4506572f4d43bdff93eb0b91a0beae4956ab03355c81c68c74479		10692452	11227812	0.9523184036212933	replace	best.pth	93	validation_soft_cross_entropy	3.8503897190093994	0.15	10000	6182	1599	1704	0.6182	0.1599	0.1704	28526.04702758789	2.852604702758789	results/MS/resnet18/c100/deep_10/metrics.json
deep_12	deep_12	d0244d037d62	soft_query_validation_best_v1	c100	resnet18	deep	12	None	finetune	soft	test	500	400	100	42	42	60	80	0ada28b329567d9323aca83ee642593e028fe6b6f050b2ff320b9c86643b0feb		10987876	11227812	0.9786302086283597	replace	best.pth	91	validation_soft_cross_entropy	4.061604022979736	0.17	10000	6182	1437	1569	0.6182	0.1437	0.1569	29698.411338806152	2.969841133880615	results/MS/resnet18/c100/deep_12/metrics.json
deep_14	deep_14	0f5f5ca3e1c9	soft_query_validation_best_v1	c100	resnet18	deep	14	None	finetune	soft	test	500	400	100	42	42	60	98	615e90fefdf4135d727ba0158198258e9ea90f04549b4abfeacae9e67934206c		11107300	11227812	0.989266653200107	replace	best.pth	39	validation_soft_cross_entropy	4.343432903289795	0.07	10000	6182	1184	1300	0.6182	0.1184	0.13	31583.33885574341	3.158333885574341	results/MS/resnet18/c100/deep_14/metrics.json
deep_16	deep_16	080a94543db7	soft_query_validation_best_v1	c100	resnet18	deep	16	None	finetune	soft	test	500	400	100	42	42	60	110	a51136794e1a39a0712b7f42fb0a7d2b336319ca50b9933abbb5fae22acd633d		11181284	11227812	0.9958560047140084	replace	best.pth	58	validation_soft_cross_entropy	4.117461681365967	0.14	10000	6182	1242	1313	0.6182	0.1242	0.1313	31247.199699401855	3.1247199699401857	results/MS/resnet18/c100/deep_16/metrics.json
full_protection		b8edb9221e78	soft_query_validation_best_v1	c100	resnet18	full_protection			finetune	soft	test	500	400	100	42	42	60	122	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7		11227812	11227812	1.0	replace	best.pth	45	validation_soft_cross_entropy	3.776387929916382	0.2	10000	6182	1390	1463	0.6182	0.139	0.1463	30398.16819381714	3.0398168193817137	results/MS/resnet18/c100/full_protection/metrics.json
hard_blackbox		54941fd8b946	hard_query_validation_best_v1	c100	resnet18	full_protection			finetune	hard	test	500	400	100	42	42	60	122	7e96847f0f89f6d4552091505464c9f18f4dd5ab49b3fb6a1a51195e275c1fa7		11227812	11227812	1.0	replace	best.pth	3	validation_hard_cross_entropy	4.360785961151123	0.13	10000	6182	890	969	0.6182	0.089	0.0969	33872.343044281006	3.387234304428101	results/MS/resnet18/c100/hard_blackbox/metrics.json
head_only		d2d4a36a3208	soft_query_validation_best_v1	c100	resnet18	head_only			finetune	soft	test	500	400	100	42	42	60	2	466d73220c084463772303efcfa567e3326b91f04ee04ed15d9db8f6c3b46785		51300	11227812	0.004569011308703779	replace	best.pth	93	validation_soft_cross_entropy	2.487809658050537	0.46	10000	6182	3985	4621	0.6182	0.3985	0.4621	16165.734035491943	1.6165734035491943	results/MS/resnet18/c100/head_only/metrics.json
large_01	large_01	a646c14098ba	soft_query_validation_best_v1	c100	resnet18	large_weight		0.01	finetune	soft	test	500	400	100	42	42	60	100	274b78a254a2e92c8f153eaf01bbcf8a70e02a15b11eb341ef0061c2759fa983	112229	116896	11227812	0.010411289394585516	exposed	best.pth	53	validation_soft_cross_entropy	2.0113556385040283	0.45	10000	6182	3637	4204	0.6182	0.3637	0.4204	14869.669956207275	1.4869669956207276	results/MS/resnet18/c100/large_01/metrics.json
