artifact_id	role	comparison_scope	defense	protected_layer_count	source_ratio	protected_scalar_count	protected_param_count	native_total_param_count	protected_param_ratio	native_private_param_ratio	baseline_total_param_count	baseline_normalized_param_ratio	head_mode	label_mode	attack_protocol	primary_epoch	selection_metric	source_path	run_id	surrogate_acc	fidelity	posterior_kl
shallow_02	curve	ordinary_fixed_victim	shallow	2			46528	11227812	0.004143995285991607		11227812	0.004143995285991607	exposed	soft	soft_query_validation_best_v1	83	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_02/metrics.json	71a1e0e5ef62	0.5608	0.7215	0.4125573320388794
shallow_04	curve	ordinary_fixed_victim	shallow	4			120512	11227812	0.01073334679989298		11227812	0.01073334679989298	exposed	soft	soft_query_validation_best_v1	91	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_04/metrics.json	f987d3409fab	0.5541	0.6918	0.4824607458114624
shallow_06	curve	ordinary_fixed_victim	shallow	6			239936	11227812	0.021369791371640353		11227812	0.021369791371640353	exposed	soft	soft_query_validation_best_v1	78	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_06/metrics.json	a27c2ebdfa90	0.514	0.6158	0.7617704002380371
shallow_08	curve	ordinary_fixed_victim	shallow	8			535360	11227812	0.04768159637870673		11227812	0.04768159637870673	exposed	soft	soft_query_validation_best_v1	83	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_08/metrics.json	dc862bfba2ed	0.4787	0.5474	0.9867178146362304
shallow_10	curve	ordinary_fixed_victim	shallow	10			1011776	11227812	0.09011337204434844		11227812	0.09011337204434844	exposed	soft	soft_query_validation_best_v1	55	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_10/metrics.json	36f501060b30	0.362	0.396	1.6178829891204833
shallow_12	curve	ordinary_fixed_victim	shallow	12			2192448	11227812	0.19526938997553575		11227812	0.19526938997553575	exposed	soft	soft_query_validation_best_v1	60	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_12/metrics.json	b21fef5cf19c	0.2983	0.3196	1.971244648361206
shallow_14	curve	ordinary_fixed_victim	shallow	14			4095552	11227812	0.36476848739540707		11227812	0.36476848739540707	exposed	soft	soft_query_validation_best_v1	50	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_14/metrics.json	a2f1785fdb07	0.2143	0.2289	2.3104665298461913
shallow_16	curve	ordinary_fixed_victim	shallow	16			8816192	11227812	0.7852101549259999		11227812	0.7852101549259999	exposed	soft	soft_query_validation_best_v1	93	validation_soft_cross_entropy	results/MS/resnet18/c100/shallow_16/metrics.json	05e0bb2d0dc0	0.2081	0.216	2.3466721843719482
middle_02	curve	ordinary_fixed_victim	middle	2			476416	11227812	0.04243177566564171		11227812	0.04243177566564171	exposed	soft	soft_query_validation_best_v1	62	validation_soft_cross_entropy	results/MS/resnet18/c100/middle_02/metrics.json	13d2868b2961	0.4289	0.4995	1.1262996816635131
middle_04	curve	ordinary_fixed_victim	middle	4			1214464	11227812	0.10816568713476855		11227812	0.10816568713476855	exposed	soft	soft_query_validation_best_v1	65	validation_soft_cross_entropy	results/MS/resnet18/c100/middle_04/metrics.json	761234aaff44	0.3332	0.3668	1.6937437412261962
