case	origin	dropped_ranks	dropped_weights	protected_weight_count	protected_unit_count	protected_param_count	protected_param_ratio	surrogate_acc	fidelity	posterior_kl	accuracy_increase_vs_full	fidelity_increase_vs_full	posterior_kl_decrease_vs_full
full_top12	reused_prefix_curve			12	13	2779236	0.24753139792508105	0.1403	0.1519	2.8565983406066895	0.0	0.0	0.0
drop_01	trained_ablation	1	layer1.1.conv1.weight	11	12	2742372	0.24424812243026514	0.1453	0.1557	2.8471583934783937	0.0050000000000000044	0.003799999999999998	0.009439947128295767
drop_02	trained_ablation	2	layer2.0.conv1.weight	11	12	2705508	0.24096484693544923	0.1523	0.1652	2.8151780265808104	0.011999999999999983	0.013300000000000006	0.04142031402587909
drop_03	trained_ablation	3	last_linear.weight	11	12	2728036	0.24297129307117005	0.2216	0.2464	2.317533450317383	0.08129999999999998	0.0945	0.5390648902893065
drop_04	trained_ablation	4	layer1.0.conv1.weight	11	12	2742372	0.24424812243026514	0.15	0.1586	2.837061573791504	0.009699999999999986	0.006699999999999984	0.01953676681518557
drop_05	trained_ablation	5	layer1.1.conv2.weight	11	12	2742372	0.24424812243026514	0.1386	0.1467	2.875738581085205	-0.001700000000000007	-0.00520000000000001	-0.01914024047851548
drop_06	trained_ablation	6	layer2.0.conv2.weight	11	12	2631780	0.2343982959458174	0.1457	0.157	2.832688014602661	0.005399999999999988	0.005099999999999993	0.023910326004028537
drop_07	trained_ablation	7	layer2.1.conv1.weight	11	12	2631780	0.2343982959458174	0.1404	0.1501	2.8553834548950197	9.999999999998899e-05	-0.001799999999999996	0.001214885711669833
drop_08	trained_ablation	8	layer1.0.conv2.weight	11	12	2742372	0.24424812243026514	0.1431	0.1506	2.86805996131897	0.002799999999999997	-0.0012999999999999956	-0.011461620712280407
drop_09	trained_ablation	9	layer3.0.conv1.weight	11	12	2484324	0.22126519396655378	0.1501	0.1645	2.7966181423187257	0.009800000000000003	0.0126	0.05998019828796375
drop_10	trained_ablation	10	layer2.1.conv2.weight	11	12	2631780	0.2343982959458174	0.1389	0.1501	2.858746295547485	-0.0014000000000000123	-0.001799999999999996	-0.002147954940795671
drop_11	trained_ablation	11	layer3.0.conv2.weight	11	12	2189412	0.1949989900080265	0.1527	0.1607	2.8156391483306886	0.012399999999999994	0.008800000000000002	0.040959192276000866
drop_12	trained_ablation	12	layer4.0.conv1.weight	11	12	1599588	0.14246658209097196	0.1523	0.162	2.8001995777130126	0.011999999999999983	0.010099999999999998	0.056398762893676846
drop_05_10	trained_ablation	5,10	layer1.1.conv2.weight,layer2.1.conv2.weight	10	11	2594916	0.2311150204510015	0.135	0.1465	2.8715620357513427	-0.005299999999999999	-0.005400000000000016	-0.014963695144653233
drop_05_08_10	trained_ablation	5,8,10	layer1.1.conv2.weight,layer1.0.conv2.weight,layer2.1.conv2.weight	9	10	2558052	0.22783174495618558	0.138	0.1471	2.89169236869812	-0.0022999999999999965	-0.004799999999999999	-0.035094028091430474
drop_05_06_08_10	trained_ablation	5,6,8,10	layer1.1.conv2.weight,layer2.0.conv2.weight,layer1.0.conv2.weight,layer2.1.conv2.weight	8	9	2410596	0.21469864297692196	0.1438	0.154	2.8524637161254884	0.003500000000000003	0.0020999999999999908	0.004134624481201055
drop_05_07_08_10	trained_ablation	5,7,8,10	layer1.1.conv2.weight,layer2.1.conv1.weight,layer1.0.conv2.weight,layer2.1.conv2.weight	8	9	2410596	0.21469864297692196	0.1458	0.1564	2.8427012397766114	0.005500000000000005	0.004500000000000004	0.013897100830078113
drop_05_06_07_08_10	trained_ablation	5,6,7,8,10	layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv1.weight,layer1.0.conv2.weight,layer2.1.conv2.weight	7	8	2263140	0.2015655409976583	0.1577	0.1702	2.7761731307983397	0.0174	0.018299999999999983	0.08042520980834977
