case	top_k	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
drop_01	11	1	0.01	400	1853.3246383666992	4.633311595916748	1	0.0025	100	4.683450698852539	4.20118896484375	2	0.02	True
drop_01	11	2	0.01	400	1807.3744049072266	4.518436012268066	12	0.03	100	4.666877746582031	4.1846160888671875	1	0.01	True
drop_01	11	3	0.01	400	1761.3040771484375	4.403260192871094	33	0.0825	100	4.6486711502075195	4.166409912109375	1	0.01	True
drop_01	11	4	0.01	400	1721.3861694335938	4.303465423583984	63	0.1575	100	4.630549430847168	4.148287658691406	2	0.02	True
drop_01	11	5	0.01	400	1677.2630462646484	4.1931576156616215	81	0.2025	100	4.612761974334717	4.13050048828125	1	0.01	True
drop_01	11	6	0.01	400	1634.92822265625	4.087320556640625	104	0.26	100	4.595146656036377	4.112885131835937	1	0.01	True
drop_01	11	7	0.01	400	1596.1287803649902	3.9903219509124757	114	0.285	100	4.579592227935791	4.097330322265625	3	0.03	True
drop_01	11	8	0.01	400	1556.4591751098633	3.891147937774658	116	0.29	100	4.56400728225708	4.081746215820313	2	0.02	True
drop_01	11	9	0.01	400	1513.7232208251953	3.7843080520629884	122	0.305	100	4.545872688293457	4.063611145019531	2	0.02	True
drop_01	11	10	0.01	400	1477.3265228271484	3.693316307067871	141	0.3525	100	4.522756099700928	4.040494995117188	2	0.02	True
drop_01	11	11	0.01	400	1439.737564086914	3.5993439102172853	165	0.4125	100	4.506752967834473	4.024491271972656	3	0.03	True
drop_01	11	12	0.01	400	1403.5060119628906	3.5087650299072264	175	0.4375	100	4.493081569671631	4.010820007324218	2	0.02	True
drop_01	11	13	0.01	400	1370.4713897705078	3.4261784744262695	177	0.4425	100	4.4730353355407715	3.9907733154296876	4	0.04	True
drop_01	11	14	0.01	400	1341.1831741333008	3.352957935333252	185	0.4625	100	4.454067707061768	3.9718060302734375	4	0.04	True
drop_01	11	15	0.01	400	1304.909553527832	3.26227388381958	196	0.49	100	4.43400764465332	3.951745910644531	4	0.04	True
drop_01	11	16	0.01	400	1265.515121459961	3.1637878036499023	218	0.545	100	4.422586441040039	3.9403253173828126	3	0.03	True
drop_01	11	17	0.01	400	1237.7021484375	3.09425537109375	226	0.565	100	4.404933452606201	3.922672119140625	4	0.04	True
drop_01	11	18	0.01	400	1213.736312866211	3.0343407821655273	224	0.56	100	4.384374141693115	3.9021124267578124	4	0.04	True
drop_01	11	19	0.01	400	1175.4143257141113	2.938535814285278	242	0.605	100	4.36629056930542	3.884029541015625	5	0.05	True
drop_01	11	20	0.01	400	1143.4003295898438	2.8585008239746093	247	0.6175	100	4.348301410675049	3.8660403442382814	5	0.05	True
drop_01	11	21	0.01	400	1116.412582397461	2.7910314559936524	250	0.625	100	4.332324504852295	3.8500628662109375	5	0.05	True
drop_01	11	22	0.01	400	1084.1287384033203	2.7103218460083007	268	0.67	100	4.312255382537842	3.8299935913085936	6	0.06	True
drop_01	11	23	0.01	400	1054.7230796813965	2.6368076992034912	278	0.695	100	4.294532299041748	3.8122705078125	6	0.06	True
drop_01	11	24	0.01	400	1029.0673217773438	2.5726683044433596	277	0.6925	100	4.280191421508789	3.7979296875	6	0.06	True
drop_01	11	25	0.01	400	990.0076446533203	2.475019111633301	287	0.7175	100	4.259003639221191	3.776741638183594	6	0.06	True
drop_01	11	26	0.01	400	969.2352981567383	2.423088245391846	295	0.7375	100	4.245547771453857	3.7632861328125	6	0.06	True
drop_01	11	27	0.01	400	945.0089340209961	2.3625223350524904	292	0.73	100	4.2336602210998535	3.751398620605469	7	0.07	True
drop_01	11	28	0.01	400	917.1840705871582	2.2929601764678953	305	0.7625	100	4.21872091293335	3.7364593505859376	7	0.07	True
drop_01	11	29	0.01	400	890.9179401397705	2.227294850349426	301	0.7525	100	4.2049384117126465	3.7226763916015626	7	0.07	True
drop_01	11	30	0.01	400	868.2375869750977	2.1705939674377444	311	0.7775	100	4.190913677215576	3.7086520385742188	7	0.07	True
drop_01	11	31	0.01	400	846.4089393615723	2.1160223484039307	313	0.7825	100	4.168539524078369	3.686278076171875	7	0.07	True
drop_01	11	32	0.01	400	819.5858459472656	2.048964614868164	308	0.77	100	4.157876014709473	3.675614013671875	9	0.09	True
drop_01	11	33	0.01	400	802.0106582641602	2.0050266456604002	319	0.7975	100	4.143958568572998	3.6616970825195314	9	0.09	True
drop_01	11	34	0.01	400	770.5723152160645	1.9264307880401612	330	0.825	100	4.128316402435303	3.6460546875	9	0.09	True
drop_01	11	35	0.01	400	757.860595703125	1.8946514892578126	331	0.8275	100	4.111268520355225	3.6290069580078126	9	0.09	True
drop_01	11	36	0.01	400	731.1769714355469	1.8279424285888672	336	0.84	100	4.097288608551025	3.6150271606445314	9	0.09	True
drop_01	11	37	0.01	400	713.8231506347656	1.7845578765869141	339	0.8475	100	4.084053993225098	3.6017926025390623	9	0.09	True
drop_01	11	38	0.01	400	693.0235061645508	1.732558765411377	338	0.845	100	4.072452068328857	3.5901904296875	8	0.08	True
drop_01	11	39	0.01	400	678.4599380493164	1.696149845123291	339	0.8475	100	4.063961029052734	3.58169921875	9	0.09	True
drop_01	11	40	0.01	400	657.5098648071289	1.6437746620178222	349	0.8725	100	4.042400360107422	3.5601385498046874	8	0.08	True
drop_01	11	41	0.01	400	641.6388721466064	1.604097180366516	350	0.875	100	4.035080432891846	3.552818603515625	10	0.1	True
drop_01	11	42	0.01	400	625.725751876831	1.5643143796920775	346	0.865	100	4.019037246704102	3.536776123046875	8	0.08	True
drop_01	11	43	0.01	400	608.6667556762695	1.5216668891906737	356	0.89	100	4.010287761688232	3.528026123046875	7	0.07	True
drop_01	11	44	0.01	400	597.1205520629883	1.4928013801574707	359	0.8975	100	4.003103733062744	3.5208416748046876	8	0.08	True
drop_01	11	45	0.01	400	588.0482501983643	1.4701206254959107	356	0.89	100	3.989622116088867	3.50736083984375	7	0.07	True
drop_01	11	46	0.01	400	564.6705741882324	1.411676435470581	362	0.905	100	3.983891010284424	3.5016293334960937	8	0.08	True
drop_01	11	47	0.01	400	548.344367980957	1.3708609199523927	367	0.9175	100	3.9726054668426514	3.4903436279296876	8	0.08	True
drop_01	11	48	0.01	400	546.9236907958984	1.367309226989746	366	0.915	100	3.9690518379211426	3.4867901611328125	8	0.08	True
drop_01	11	49	0.01	400	531.5256290435791	1.3288140726089477	369	0.9225	100	3.952212333679199	3.469951171875	8	0.08	True
drop_01	11	50	0.01	400	513.827169418335	1.2845679235458374	373	0.9325	100	3.9382951259613037	3.4560336303710937	8	0.08	True
drop_01	11	51	0.01	400	509.7007427215576	1.274251856803894	367	0.9175	100	3.933739423751831	3.4514779663085937	9	0.09	True
drop_01	11	52	0.01	400	499.35547256469727	1.248388681411743	371	0.9275	100	3.9405877590179443	3.458326416015625	8	0.08	False
drop_01	11	53	0.01	400	494.55787086486816	1.2363946771621703	375	0.9375	100	3.9222252368927	3.4399639892578127	8	0.08	True
drop_01	11	54	0.01	400	482.2605743408203	1.2056514358520507	371	0.9275	100	3.917112350463867	3.434850769042969	9	0.09	True
drop_01	11	55	0.01	400	473.3299045562744	1.183324761390686	372	0.93	100	3.9120872020721436	3.429825439453125	9	0.09	True
drop_01	11	56	0.01	400	455.01113510131836	1.1375278377532958	376	0.94	100	3.907259941101074	3.4249981689453124	9	0.09	True
drop_01	11	57	0.01	400	453.94778060913086	1.1348694515228273	377	0.9425	100	3.8963732719421387	3.4141119384765624	10	0.1	True
drop_01	11	58	0.01	400	445.0524501800537	1.1126311254501342	377	0.9425	100	3.889296770095825	3.407034912109375	9	0.09	True
drop_01	11	59	0.01	400	435.9721984863281	1.0899304962158203	375	0.9375	100	3.878185749053955	3.395924072265625	9	0.09	True
drop_01	11	60	0.01	400	431.50306701660156	1.0787576675415038	379	0.9475	100	3.8750243186950684	3.3927630615234374	9	0.09	True
