seed	case	label	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	matched_blackbox_accuracy	matched_blackbox_fidelity	matched_blackbox_posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	all_metrics_at_or_beyond_blackbox
43	tensorshield_top10	TensorShield Top-10	90	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1746	0.1865	2.6811962017059328	0.1536	0.1555	3.0075808403015136	0.02100000000000002	0.031	-0.32638463859558087	False
43	tensorshield_top10_bn_gamma	Top-10 + BN gamma	92	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.131	0.1384	3.0081881813049316	0.1536	0.1555	3.0075808403015136	-0.02259999999999998	-0.017100000000000004	0.0006073410034179716	True
43	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	92	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1299	0.1381	3.0885056716918946	0.1536	0.1555	3.0075808403015136	-0.0237	-0.0174	0.08092483139038098	True
44	tensorshield_top10	TensorShield Top-10	97	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1775	0.1893	2.6500846420288084	0.15	0.1551	2.955327938461304	0.027499999999999997	0.03420000000000001	-0.30524329643249537	False
44	tensorshield_top10_bn_gamma	Top-10 + BN gamma	55	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.135	0.1464	2.9814240425109864	0.15	0.1551	2.955327938461304	-0.014999999999999986	-0.008699999999999986	0.026096104049682545	True
44	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	59	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1197	0.1276	3.0787960441589357	0.15	0.1551	2.955327938461304	-0.030299999999999994	-0.027499999999999997	0.12346810569763189	True
45	tensorshield_top10	TensorShield Top-10	90	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1709	0.1829	2.664905849456787	0.1518	0.1617	2.9247035690307617	0.019100000000000006	0.021199999999999997	-0.25979771957397446	False
45	tensorshield_top10_bn_gamma	Top-10 + BN gamma	54	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1264	0.1355	3.045445517349243	0.1518	0.1617	2.9247035690307617	-0.025399999999999978	-0.0262	0.12074194831848128	True
45	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	93	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1114	0.1207	3.1871116485595703	0.1518	0.1617	2.9247035690307617	-0.04039999999999999	-0.04100000000000001	0.2624080795288086	True
46	tensorshield_top10	TensorShield Top-10	92	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1704	0.1851	2.6582210540771483	0.1524	0.157	2.9586137844085694	0.017999999999999988	0.028099999999999986	-0.3003927303314211	False
46	tensorshield_top10_bn_gamma	Top-10 + BN gamma	27	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.129	0.1386	3.087762967681885	0.1524	0.157	2.9586137844085694	-0.023400000000000004	-0.0184	0.1291491832733156	True
46	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	54	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1218	0.1304	3.1292269645690918	0.1524	0.157	2.9586137844085694	-0.030600000000000002	-0.026600000000000013	0.1706131801605224	True
47	tensorshield_top10	TensorShield Top-10	93	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1747	0.1893	2.651907498168945	0.15	0.157	2.9716312255859374	0.0247	0.032299999999999995	-0.3197237274169922	False
47	tensorshield_top10_bn_gamma	Top-10 + BN gamma	60	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.131	0.1374	3.0270167388916014	0.15	0.157	2.9716312255859374	-0.01899999999999999	-0.019600000000000006	0.05538551330566399	True
47	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	53	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1201	0.1258	3.1416385845184327	0.15	0.157	2.9716312255859374	-0.029899999999999996	-0.031200000000000006	0.1700073589324953	True
48	tensorshield_top10	TensorShield Top-10	91	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1764	0.1922	2.628786271286011	0.1332	0.1408	3.1477268814086914	0.04319999999999999	0.0514	-0.5189406101226806	False
48	tensorshield_top10_bn_gamma	Top-10 + BN gamma	80	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1307	0.1411	3.0025756248474123	0.1332	0.1408	3.1477268814086914	-0.0025000000000000022	0.0002999999999999947	-0.14515125656127914	False
48	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	97	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.1229	0.1294	3.129676791381836	0.1332	0.1408	3.1477268814086914	-0.010300000000000017	-0.011400000000000021	-0.018050090026855425	False
49	tensorshield_top10	TensorShield Top-10	99	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1684	0.1805	2.68296817779541	0.145	0.1559	2.937340302276611	0.023400000000000004	0.024599999999999983	-0.25437212448120095	False
49	tensorshield_top10_bn_gamma	Top-10 + BN gamma	82	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1255	0.136	3.024851732635498	0.145	0.1559	2.937340302276611	-0.01949999999999999	-0.0199	0.08751143035888687	True
49	candidate_drop_05_08_10_bn_gamma	Drop 5/8/10 + BN gamma	74	28	793380	0.07066203103507611	7f62208e2137a86a36c55c0e9a1d272d7e34cd99001499c6b5fa95087bdae557	0.114	0.122	3.1713851181030273	0.145	0.1559	2.937340302276611	-0.030999999999999986	-0.03390000000000001	0.23404481582641612	True
50	tensorshield_top10	TensorShield Top-10	99	11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1766	0.1922	2.680696965408325	0.1425	0.1501	3.0149650390625	0.03410000000000002	0.0421	-0.334268073654175	False
