case	top_k	new_weight	selected_weight_names	protected_unit_count	protected_param_count	protected_param_ratio	head_mode	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl
top_01	1	layer1.1.conv1.weight	layer1.1.conv1.weight	2	36964	0.0032921819496087037	mixed	d9a44621fbde99c93a9c16e5989dcbc654014d3d1fa4daa87c43b071fc1afa2a	0.598	0.8153	0.16787546067237855
top_02	2	layer2.0.conv1.weight	layer1.1.conv1.weight,layer2.0.conv1.weight	3	110692	0.009858732939240522	mixed	eadf01718dff9476eb0a356367f6bb6d42d9cbda66cea618b251feab52f436c4	0.5499	0.6977	0.44769682006835937
top_03	3	last_linear.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight	4	161892	0.014418837793151507	replace	9463f5da2cf76841c7a91c3d8180cb31a33e627d5352940cf360121f59013ca5	0.3493	0.3923	1.757092510986328
top_04	4	layer1.0.conv1.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight	5	198756	0.017702113287967416	replace	63b9633c64756c5419003ec663116a81385bfaea4aaf4e4bfb8d02fe48452ecf	0.3282	0.3681	1.8441415153503418
top_05	5	layer1.1.conv2.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight	6	235620	0.020985388782783325	replace	00f8a43f53c42814c1447b21f8dcba858e658fad4eacb78a5303f8b792b68dd7	0.3333	0.3721	1.8228627285003662
top_06	6	layer2.0.conv2.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight,layer2.0.conv2.weight	7	383076	0.03411849076204696	replace	c230c029c954fac6b3debfaa527a965b2c358bd3db1cd98cf56b76d9b48f1f40	0.3011	0.3331	1.9750754676818847
top_07	7	layer2.1.conv1.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv1.weight	8	530532	0.0472515927413106	replace	87d5edd57349650da9fa6770cf80a711d7a27afe20afcb97fe7f37e89ff762a0	0.2727	0.2992	2.0941035346984864
top_08	8	layer1.0.conv2.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv1.weight,layer1.0.conv2.weight	9	567396	0.050534868236126504	replace	b975163ccfdc89beb1711801daeac061647288086e7b03754671b17d02fe3447	0.2732	0.2992	2.1010542724609373
top_09	9	layer3.0.conv1.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv1.weight,layer1.0.conv2.weight,layer3.0.conv1.weight	10	862308	0.07680107219465378	replace	e15f1e5bca0b7e5437bf8d17c3a74b2fbbe53d20a1d7dd019dedb9cb280250cd	0.1984	0.216	2.4793649909973143
top_10	10	layer2.1.conv2.weight	layer1.1.conv1.weight,layer2.0.conv1.weight,last_linear.weight,layer1.0.conv1.weight,layer1.1.conv2.weight,layer2.0.conv2.weight,layer2.1.conv1.weight,layer1.0.conv2.weight,layer3.0.conv1.weight,layer2.1.conv2.weight	11	1009764	0.08993417417391741	replace	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1915	0.2106	2.505739372253418
