case	top_k	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
first_10	10	1	0.01	400	1854.2022705078125	4.635505676269531	4	0.01	100	4.701741695404053	4.219480285644531	0	0.0	True
first_10	10	2	0.01	400	1806.2643814086914	4.515660953521729	15	0.0375	100	4.686286449432373	4.2040252685546875	2	0.02	True
first_10	10	3	0.01	400	1755.4640350341797	4.388660087585449	34	0.085	100	4.658424377441406	4.1761627197265625	1	0.01	True
first_10	10	4	0.01	400	1715.1176452636719	4.28779411315918	61	0.1525	100	4.632349014282227	4.150087280273437	1	0.01	True
first_10	10	5	0.01	400	1669.5987091064453	4.173996772766113	79	0.1975	100	4.607690334320068	4.125429077148437	1	0.01	True
first_10	10	6	0.01	400	1627.6385955810547	4.069096488952637	98	0.245	100	4.582900524139404	4.100638732910157	2	0.02	True
first_10	10	7	0.01	400	1587.6791229248047	3.9691978073120118	114	0.285	100	4.5661187171936035	4.083856811523438	2	0.02	True
first_10	10	8	0.01	400	1547.3275604248047	3.8683189010620116	123	0.3075	100	4.548041343688965	4.065779724121094	4	0.04	True
first_10	10	9	0.01	400	1502.0391387939453	3.7550978469848633	144	0.36	100	4.526399612426758	4.04413818359375	4	0.04	True
first_10	10	10	0.01	400	1463.4444580078125	3.658611145019531	155	0.3875	100	4.500188827514648	4.01792724609375	3	0.03	True
first_10	10	11	0.01	400	1428.2304573059082	3.5705761432647707	162	0.405	100	4.4797468185424805	3.9974847412109376	2	0.02	True
first_10	10	12	0.01	400	1390.602611541748	3.47650652885437	177	0.4425	100	4.462526321411133	3.9802645874023437	3	0.03	True
first_10	10	13	0.01	400	1354.2793350219727	3.3856983375549317	191	0.4775	100	4.442646026611328	3.960384521484375	4	0.04	True
first_10	10	14	0.01	400	1326.5476264953613	3.316369066238403	194	0.485	100	4.4196038246154785	3.9373419189453127	5	0.05	True
first_10	10	15	0.01	400	1290.7397422790527	3.226849355697632	204	0.51	100	4.403582572937012	3.92132080078125	5	0.05	True
first_10	10	16	0.01	400	1253.1283149719238	3.1328207874298095	218	0.545	100	4.387540340423584	3.9052789306640623	5	0.05	True
first_10	10	17	0.01	400	1222.6096572875977	3.056524143218994	222	0.555	100	4.364351749420166	3.88208984375	5	0.05	True
first_10	10	18	0.01	400	1193.2006378173828	2.983001594543457	237	0.5925	100	4.3436689376831055	3.861407470703125	5	0.05	True
first_10	10	19	0.01	400	1155.1754989624023	2.8879387474060056	247	0.6175	100	4.324771404266357	3.842509765625	5	0.05	True
first_10	10	20	0.01	400	1125.7064590454102	2.8142661476135253	250	0.625	100	4.308396339416504	3.8261346435546875	5	0.05	True
first_10	10	21	0.01	400	1096.735279083252	2.74183819770813	257	0.6425	100	4.291445732116699	3.8091839599609374	5	0.05	True
first_10	10	22	0.01	400	1063.810619354248	2.65952654838562	271	0.6775	100	4.271206855773926	3.7889450073242186	5	0.05	True
first_10	10	23	0.01	400	1034.8529357910156	2.587132339477539	281	0.7025	100	4.251648902893066	3.7693878173828126	7	0.07	True
first_10	10	24	0.01	400	1008.5667152404785	2.521416788101196	277	0.6925	100	4.23738431930542	3.7551226806640625	7	0.07	True
first_10	10	25	0.01	400	971.6996536254883	2.4292491340637206	285	0.7125	100	4.2220964431762695	3.7398345947265623	8	0.08	True
first_10	10	26	0.01	400	953.0746459960938	2.3826866149902344	290	0.725	100	4.2037272453308105	3.721466064453125	8	0.08	True
first_10	10	27	0.01	400	926.1175308227539	2.315293827056885	292	0.73	100	4.183714389801025	3.70145263671875	10	0.1	True
first_10	10	28	0.01	400	897.2243270874023	2.243060817718506	300	0.75	100	4.179509162902832	3.6972476196289064	9	0.09	True
first_10	10	29	0.01	400	870.0801315307617	2.175200328826904	306	0.765	100	4.1594038009643555	3.6771420288085936	9	0.09	True
first_10	10	30	0.01	400	850.4390144348145	2.126097536087036	308	0.77	100	4.144204616546631	3.6619427490234373	9	0.09	True
first_10	10	31	0.01	400	829.4402084350586	2.0736005210876467	316	0.79	100	4.1315412521362305	3.6492794799804686	9	0.09	True
first_10	10	32	0.01	400	803.066484451294	2.007666211128235	322	0.805	100	4.117578506469727	3.635317077636719	10	0.1	True
first_10	10	33	0.01	400	785.0561981201172	1.962640495300293	319	0.7975	100	4.0974531173706055	3.615191650390625	10	0.1	True
first_10	10	34	0.01	400	756.5743370056152	1.891435842514038	326	0.815	100	4.081896781921387	3.599634704589844	10	0.1	True
first_10	10	35	0.01	400	742.9517822265625	1.8573794555664063	335	0.8375	100	4.063205242156982	3.5809442138671876	10	0.1	True
first_10	10	36	0.01	400	714.3403930664062	1.7858509826660156	331	0.8275	100	4.041744232177734	3.5594827270507814	11	0.11	True
first_10	10	37	0.01	400	699.8857440948486	1.7497143602371217	334	0.835	100	4.03127384185791	3.549012451171875	11	0.11	True
first_10	10	38	0.01	400	677.8141098022461	1.6945352745056153	339	0.8475	100	4.026885986328125	3.5446240234375	11	0.11	True
first_10	10	39	0.01	400	661.8718223571777	1.6546795558929444	342	0.855	100	4.016071796417236	3.5338104248046873	11	0.11	True
first_10	10	40	0.01	400	641.7786026000977	1.6044465065002442	349	0.8725	100	4.002415180206299	3.52015380859375	11	0.11	True
first_10	10	41	0.01	400	630.0674114227295	1.5751685285568238	351	0.8775	100	3.9854750633239746	3.503213195800781	11	0.11	True
first_10	10	42	0.01	400	614.72678565979	1.536816964149475	350	0.875	100	3.9752135276794434	3.49295166015625	12	0.12	True
first_10	10	43	0.01	400	592.9432353973389	1.4823580884933472	360	0.9	100	3.963672161102295	3.4814102172851564	12	0.12	True
first_10	10	44	0.01	400	584.6538219451904	1.461634554862976	357	0.8925	100	3.952606201171875	3.4703448486328123	12	0.12	True
first_10	10	45	0.01	400	573.8178825378418	1.4345447063446044	362	0.905	100	3.9466021060943604	3.4643408203125	12	0.12	True
first_10	10	46	0.01	400	552.6596221923828	1.381649055480957	358	0.895	100	3.942361354827881	3.460099792480469	11	0.11	True
first_10	10	47	0.01	400	538.5826930999756	1.346456732749939	368	0.92	100	3.925490140914917	3.4432281494140624	10	0.1	True
first_10	10	48	0.01	400	536.7189044952393	1.3417972612380982	366	0.915	100	3.919034957885742	3.436773376464844	11	0.11	True
first_10	10	49	0.01	400	519.7775001525879	1.2994437503814698	369	0.9225	100	3.9095640182495117	3.4273028564453125	11	0.11	True
first_10	10	50	0.01	400	505.5649070739746	1.2639122676849366	367	0.9175	100	3.8879103660583496	3.4056488037109376	11	0.11	True
first_10	10	51	0.01	400	499.5774726867676	1.248943681716919	366	0.915	100	3.88039231300354	3.398131103515625	10	0.1	True
first_10	10	52	0.01	400	490.73611068725586	1.2268402767181397	370	0.925	100	3.881155252456665	3.3988937377929687	10	0.1	False
first_10	10	53	0.01	400	486.94526290893555	1.217363157272339	372	0.93	100	3.8737785816192627	3.3915167236328125	12	0.12	True
first_10	10	54	0.01	400	474.73286056518555	1.1868321514129638	371	0.9275	100	3.872056245803833	3.3897943115234375	11	0.11	True
first_10	10	55	0.01	400	465.8288059234619	1.1645720148086547	371	0.9275	100	3.8613531589508057	3.3790911865234374	13	0.13	True
first_10	10	56	0.01	400	451.57863426208496	1.1289465856552123	373	0.9325	100	3.8554039001464844	3.3731423950195314	12	0.12	True
first_10	10	57	0.01	400	446.1518363952637	1.1153795909881592	376	0.94	100	3.845494270324707	3.363232421875	12	0.12	True
first_10	10	58	0.01	400	439.5380516052246	1.0988451290130614	372	0.93	100	3.8413918018341064	3.3591302490234374	12	0.12	True
first_10	10	59	0.01	400	431.9247817993164	1.079811954498291	375	0.9375	100	3.831956624984741	3.3496954345703127	12	0.12	True
first_10	10	60	0.01	400	424.80932998657227	1.0620233249664306	377	0.9425	100	3.822618007659912	3.3403564453125	12	0.12	True
first_10	10	61	0.001	400	420.1570167541504	1.050392541885376	380	0.95	100	3.8184814453125	3.336219482421875	12	0.12	True
first_10	10	62	0.001	400	419.4911823272705	1.0487279558181763	377	0.9425	100	3.8188021183013916	3.33654052734375	12	0.12	False
first_10	10	63	0.001	400	418.4853057861328	1.0462132644653321	375	0.9375	100	3.8164913654327393	3.334229736328125	12	0.12	True
first_10	10	64	0.001	400	419.39409255981445	1.048485231399536	381	0.9525	100	3.8122406005859375	3.3299786376953127	13	0.13	True
first_10	10	65	0.001	400	417.1864585876465	1.0429661464691162	379	0.9475	100	3.8185527324676514	3.3362908935546876	13	0.13	False
first_10	10	66	0.001	400	417.14756774902344	1.0428689193725587	376	0.94	100	3.8178255558013916	3.33556396484375	13	0.13	False
first_10	10	67	0.001	400	419.7524070739746	1.0493810176849365	379	0.9475	100	3.8171281814575195	3.334866638183594	12	0.12	False
first_10	10	68	0.001	400	412.67425537109375	1.0316856384277344	375	0.9375	100	3.811133861541748	3.3288720703125	13	0.13	True
first_10	10	69	0.001	400	415.0612335205078	1.0376530838012696	379	0.9475	100	3.808504581451416	3.3262432861328124	12	0.12	True
first_10	10	70	0.001	400	414.412296295166	1.036030740737915	381	0.9525	100	3.810645341873169	3.3283837890625	13	0.13	False
first_10	10	71	0.001	400	410.5667552947998	1.0264168882369995	380	0.95	100	3.81024432182312	3.3279827880859374	12	0.12	False
first_10	10	72	0.001	400	405.5160713195801	1.0137901782989502	380	0.95	100	3.815070152282715	3.3328082275390627	13	0.13	False
first_10	10	73	0.001	400	411.7877616882324	1.029469404220581	380	0.95	100	3.8136839866638184	3.3314227294921874	13	0.13	False
first_10	10	74	0.001	400	415.9773807525635	1.0399434518814088	373	0.9325	100	3.8080832958221436	3.3258221435546873	13	0.13	True
first_10	10	75	0.001	400	409.7302303314209	1.0243255758285523	379	0.9475	100	3.8070781230926514	3.3248162841796876	14	0.14	True
first_10	10	76	0.001	400	411.4769802093506	1.0286924505233765	378	0.945	100	3.8009746074676514	3.31871337890625	13	0.13	True
first_10	10	77	0.001	400	414.1768035888672	1.0354420089721679	381	0.9525	100	3.8051867485046387	3.3229248046875	12	0.12	False
first_10	10	78	0.001	400	407.64198875427246	1.019104971885681	381	0.9525	100	3.797562837600708	3.3153012084960936	12	0.12	True
first_10	10	79	0.001	400	414.7229709625244	1.036807427406311	382	0.955	100	3.806256055831909	3.3239947509765626	14	0.14	False
first_10	10	80	0.001	400	407.5402088165283	1.0188505220413209	378	0.945	100	3.800635814666748	3.3183740234375	14	0.14	False
first_10	10	81	0.001	400	408.04125213623047	1.020103130340576	374	0.935	100	3.8057940006256104	3.3235321044921875	14	0.14	False
first_10	10	82	0.001	400	410.62115478515625	1.0265528869628906	379	0.9475	100	3.802767753601074	3.3205059814453124	13	0.13	False
first_10	10	83	0.001	400	407.6868782043457	1.0192171955108642	383	0.9575	100	3.797394275665283	3.315133056640625	14	0.14	True
first_10	10	84	0.001	400	397.4517574310303	0.9936293935775757	379	0.9475	100	3.7999064922332764	3.3176449584960936	14	0.14	False
first_10	10	85	0.001	400	400.94654273986816	1.0023663568496703	379	0.9475	100	3.795502185821533	3.313240661621094	13	0.13	True
first_10	10	86	0.001	400	405.71346282958984	1.0142836570739746	377	0.9425	100	3.7963106632232666	3.314049072265625	14	0.14	False
first_10	10	87	0.001	400	403.79916191101074	1.0094979047775268	378	0.945	100	3.7916150093078613	3.3093533325195312	13	0.13	True
first_10	10	88	0.001	400	405.2780113220215	1.0131950283050537	381	0.9525	100	3.792607307434082	3.3103457641601564	12	0.12	False
first_10	10	89	0.001	400	401.8823719024658	1.0047059297561645	380	0.95	100	3.788858652114868	3.3065969848632815	12	0.12	True
first_10	10	90	0.001	400	404.48959732055664	1.0112239933013916	381	0.9525	100	3.785118818283081	3.3028570556640626	13	0.13	True
first_10	10	91	0.001	400	405.50623321533203	1.01376558303833	378	0.945	100	3.7842631340026855	3.302001953125	14	0.14	True
first_10	10	92	0.001	400	402.54699325561523	1.0063674831390381	379	0.9475	100	3.7809906005859375	3.2987286376953127	13	0.13	True
first_10	10	93	0.001	400	401.4023666381836	1.003505916595459	377	0.9425	100	3.7785027027130127	3.2962411499023436	13	0.13	True
first_10	10	94	0.001	400	402.80517578125	1.007012939453125	377	0.9425	100	3.77801251411438	3.295750732421875	14	0.14	True
first_10	10	95	0.001	400	397.8307418823242	0.9945768547058106	381	0.9525	100	3.7876622676849365	3.305400695800781	13	0.13	False
first_10	10	96	0.001	400	398.66284370422363	0.9966571092605591	379	0.9475	100	3.790308952331543	3.3080474853515627	12	0.12	False
first_10	10	97	0.001	400	392.9532814025879	0.9823832035064697	378	0.945	100	3.794429302215576	3.3121673583984377	13	0.13	False
first_10	10	98	0.001	400	393.03302001953125	0.9825825500488281	378	0.945	100	3.7881767749786377	3.3059152221679686	14	0.14	False
first_10	10	99	0.001	400	395.53952980041504	0.9888488245010376	381	0.9525	100	3.7912395000457764	3.3089776611328126	14	0.14	False
first_10	10	100	0.001	400	395.27015686035156	0.9881753921508789	379	0.9475	100	3.7920145988464355	3.3097528076171874	14	0.14	False
spread_10	10	1	0.01	400	1844.188735961914	4.610471839904785	3	0.0075	100	4.660162925720215	4.177901611328125	1	0.01	True
spread_10	10	2	0.01	400	1800.981948852539	4.502454872131348	9	0.0225	100	4.6406073570251465	4.158345947265625	1	0.01	True
spread_10	10	3	0.01	400	1756.2801208496094	4.390700302124023	30	0.075	100	4.621509552001953	4.139248046875	2	0.02	True
spread_10	10	4	0.01	400	1713.0498657226562	4.282624664306641	62	0.155	100	4.600799083709717	4.1185369873046875	3	0.03	True
spread_10	10	5	0.01	400	1672.1790466308594	4.1804476165771485	93	0.2325	100	4.576858997344971	4.09459716796875	4	0.04	True
spread_10	10	6	0.01	400	1626.5221557617188	4.066305389404297	119	0.2975	100	4.552150249481201	4.069888916015625	4	0.04	True
spread_10	10	7	0.01	400	1588.1497802734375	3.9703744506835936	122	0.305	100	4.531924724578857	4.049663696289063	5	0.05	True
spread_10	10	8	0.01	400	1549.3782539367676	3.873445634841919	138	0.345	100	4.512223243713379	4.0299615478515625	5	0.05	True
spread_10	10	9	0.01	400	1503.5528869628906	3.7588822174072267	139	0.3475	100	4.493800163269043	4.011538696289063	5	0.05	True
spread_10	10	10	0.01	400	1462.9596252441406	3.6573990631103515	163	0.4075	100	4.471236705780029	3.988974914550781	5	0.05	True
spread_10	10	11	0.01	400	1430.5939102172852	3.576484775543213	167	0.4175	100	4.45085334777832	3.96859130859375	4	0.04	True
spread_10	10	12	0.01	400	1388.0962257385254	3.4702405643463137	187	0.4675	100	4.433469772338867	3.95120849609375	4	0.04	True
spread_10	10	13	0.01	400	1353.172019958496	3.38293004989624	195	0.4875	100	4.413700580596924	3.9314385986328126	4	0.04	True
spread_10	10	14	0.01	400	1323.344970703125	3.3083624267578124	199	0.4975	100	4.393742084503174	3.9114801025390626	5	0.05	True
spread_10	10	15	0.01	400	1290.7023315429688	3.226755828857422	204	0.51	100	4.371022701263428	3.888760986328125	6	0.06	True
spread_10	10	16	0.01	400	1248.5859565734863	3.1214648914337157	214	0.535	100	4.34993839263916	3.8676766967773437	5	0.05	True
spread_10	10	17	0.01	400	1222.6115684509277	3.0565289211273194	223	0.5575	100	4.325923442840576	3.843662109375	7	0.07	True
spread_10	10	18	0.01	400	1194.2084007263184	2.985521001815796	233	0.5825	100	4.304216384887695	3.821954650878906	8	0.08	True
spread_10	10	19	0.01	400	1153.3910064697266	2.8834775161743162	243	0.6075	100	4.28337287902832	3.80111083984375	9	0.09	True
spread_10	10	20	0.01	400	1125.2951278686523	2.813237819671631	243	0.6075	100	4.266748428344727	3.7844866943359374	10	0.1	True
spread_10	10	21	0.01	400	1099.0260391235352	2.7475650978088377	255	0.6375	100	4.244472980499268	3.7622119140625	10	0.1	True
spread_10	10	22	0.01	400	1062.2788543701172	2.6556971359252928	272	0.68	100	4.226728916168213	3.7444677734375	12	0.12	True
spread_10	10	23	0.01	400	1040.3944396972656	2.600986099243164	264	0.66	100	4.204054355621338	3.721793212890625	11	0.11	True
