protection_group	protected_unit_count	protected_unit_ratio	protected_param_count	protected_param_ratio	protected_state_element_count	protected_state_element_ratio	protected_state_byte_count	protected_state_byte_ratio	head_mode	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl
weight	41	0.3360655737704918	11222912	0.9995635837151531	11222912	0.9987078898452956	44891648	0.9987061123820595	mixed	5f40612e22a06eb563cc0afbcbb98656560443b3f215c609c417b532488c4f5e	0.154	0.1642	2.7670206809997557
bias	21	0.1721311475409836	4900	0.0004364162848469497	4900	0.0004360426830613969	19600	0.000436041907008813	mixed	fab3688a15b14a81f58c680552969fed59e0d617b0d858f13912260d88c9a5e3	0.5773	0.7629	0.28810780687332155
running_mean	20	0.16393442622950818	0	0.0	4800	0.00042714385279483784	19200	0.0004271430925800617	exposed	92f0117ee73f5eddf14b828519a2d2de253b4f1e544b4952460dc04a758984a6	0.6109	0.8801	0.07660159139633178
running_var	20	0.16393442622950818	0	0.0	4800	0.00042714385279483784	19200	0.0004271430925800617	exposed	c8144129519bf9accb0c7cfce165a835ed2855e59e99a9fb00194e1ece9423a9	0.6109	0.8801	0.07660159139633178
num_batches_tracked	20	0.16393442622950818	0	0.0	20	1.7797660533118243e-06	160	3.5595257715005147e-06	exposed	e54a451f41a715f4bdcfc24a36d6639fcff16a13ae4a99b303a996ec38c184c0	0.6109	0.8801	0.07660159139633178
main_conv	16	0.13114754098360656	10985472	0.9784160974551409	10985472	0.9775785072603776	43941888	0.9775767674024325	exposed	12608ebc87784e5a3a0a2b1e8ac4c74b98621c5f7a4e51112ec47ba6c7880df9	0.239	0.2601	2.1336244117736816
downsample_conv	3	0.02459016393442623	172032	0.015321952309140909	172032	0.015308835684166987	688128	0.015308808438069412	exposed	576d5fd40ce1150f3481f5c95c7def8c6ca0f82f789193bab2c71234c64dc221	0.5508	0.6876	0.4824927888870239
bn_gamma	20	0.16393442622950818	4800	0.0004275098300541548	4800	0.00042714385279483784	19200	0.0004271430925800617	exposed	f923ef11f420a7d9478071408044fe85463e84795d42563cb5a3b879f3390b7f	0.4948	0.5899	0.843716215801239
bn_beta	20	0.16393442622950818	4800	0.0004275098300541548	4800	0.00042714385279483784	19200	0.0004271430925800617	exposed	0a382aa7c442253f74caa87b42f59d08f765908485a89066bf7566bb87bfaeea	0.5773	0.7625	0.28834198751449586
bn_affine	40	0.32786885245901637	9600	0.0008550196601083096	9600	0.0008542877055896757	38400	0.0008542861851601235	exposed	8dee96ebe5f3689cd4eca45f5ea2c320bb6c0ee51b3a2e64d1082d974a29c71e	0.4715	0.5603	0.9451709323883056
head_weight	1	0.00819672131147541	51200	0.004560104853910985	51200	0.00455620109647827	204800	0.004556192987520659	mixed	31e134db1dbe790438aa5ff9e55dbf9d0e670831279523633df0746807e12478	0.4408	0.5139	1.3478263732910156
head_bias	1	0.00819672131147541	100	8.906454792794893e-06	100	8.898830266559121e-06	400	8.898814428751287e-06	mixed	17e2a03ab0732f1e95fc5e31c1757ef0816e0952d88a7d9b8f00cd54ed4a6923	0.6107	0.88	0.07654011242389679
downsample_branch	18	0.14754098360655737	173824	0.015481555979027792	175619	0.015628036725828465	702488	0.015628275876061585	exposed	40afb0629945031bb4f370e86a85df9fcf81a39de0f5876b4ba541a00ac06e8e	0.5475	0.6891	0.5310901288032531
stem_branch	6	0.04918032786885246	9536	0.0008493195290409208	9665	0.0008600719452629391	38664	0.0008601594026830993	exposed	3b1de8b55225fb005b00535ce5fc4a4a4d16277c9e83c0a2fef32e79f8452e14	0.5503	0.7022	0.4511421886444092
stem_conv	1	0.00819672131147541	9408	0.0008379192669061435	9408	0.0008372019514778821	37632	0.000837200461456921	exposed	571c8593f16ee4f8bf7f1663c8ef8c43d6b31c3ca1ec6c05e0a0df40b09bb447	0.5611	0.7203	0.40342679052352903
stem_bn_affine	2	0.01639344262295082	128	1.1400262134777461e-05	128	1.1390502741195675e-05	512	1.1390482468801646e-05	exposed	1173cec86db842bf85427bd6cee7961b2ea0ffacbad00e873b4f0bc833652a21	0.5967	0.8224	0.15850385422706603
downsample_bn_affine	6	0.04918032786885246	1792	0.00015960366988688446	1792	0.00015946703837673945	7168	0.00015946675456322306	exposed	c4f935da3ac85ff6e5e8404e7f02dde7fcffdfd128c4ba00a0eff5acf91e2546	0.5894	0.7985	0.23345030999183655
head	2	0.01639344262295082	51300	0.004569011308703779	51300	0.004565099926744829	205200	0.00456509180194941	replace	466d73220c084463772303efcfa567e3326b91f04ee04ed15d9db8f6c3b46785	0.4404	0.5135	1.3475780418395995
