protection_group	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
weight	1	0.01	400	1924.4308013916016	4.811077003479004	12	0.03	100	4.822151184082031	4.3398895263671875	0	0.0	True
weight	2	0.01	400	1256.3521194458008	3.140880298614502	163	0.4075	100	4.616862773895264	4.134601440429687	4	0.04	True
weight	3	0.01	400	923.9849319458008	2.309962329864502	258	0.645	100	4.430651664733887	3.948389892578125	6	0.06	True
weight	4	0.01	400	728.6928787231445	1.8217321968078612	318	0.795	100	4.288288593292236	3.8060272216796873	13	0.13	True
weight	5	0.01	400	582.7905578613281	1.4569763946533203	351	0.8775	100	4.19893741607666	3.7166757202148437	14	0.14	True
weight	6	0.01	400	493.02757453918457	1.2325689363479615	362	0.905	100	4.118791103363037	3.636529541015625	13	0.13	True
weight	7	0.01	400	449.3581962585449	1.1233954906463623	372	0.93	100	4.113625526428223	3.631363525390625	16	0.16	True
weight	8	0.01	400	412.8729419708252	1.032182354927063	372	0.93	100	4.1286845207214355	3.6464227294921874	13	0.13	False
weight	9	0.01	400	390.1885566711426	0.9754713916778565	375	0.9375	100	4.0770416259765625	3.5947802734375	12	0.12	True
weight	10	0.01	400	374.3642997741699	0.9359107494354248	379	0.9475	100	4.032795429229736	3.550533447265625	11	0.11	True
weight	11	0.01	400	355.309268951416	0.8882731723785401	381	0.9525	100	3.962822675704956	3.4805609130859376	14	0.14	True
weight	12	0.01	400	349.4612331390381	0.8736530828475952	386	0.965	100	3.999394416809082	3.517132568359375	9	0.09	False
weight	13	0.01	400	337.18675804138184	0.8429668951034546	381	0.9525	100	4.019287586212158	3.5370263671875	10	0.1	False
weight	14	0.01	400	328.40100860595703	0.8210025215148926	384	0.96	100	3.962883710861206	3.4806219482421876	12	0.12	False
weight	15	0.01	400	322.26943588256836	0.8056735897064209	383	0.9575	100	3.877472162246704	3.3952105712890623	12	0.12	True
weight	16	0.01	400	311.51763820648193	0.7787940955162048	385	0.9625	100	3.889937162399292	3.407675476074219	14	0.14	False
weight	17	0.01	400	306.269962310791	0.7656749057769775	385	0.9625	100	3.878650426864624	3.39638916015625	13	0.13	False
weight	18	0.01	400	306.9961471557617	0.7674903678894043	380	0.95	100	3.876373291015625	3.3941116333007812	13	0.13	True
weight	19	0.01	400	297.7629985809326	0.7444074964523315	383	0.9575	100	3.8725850582122803	3.3903237915039064	14	0.14	True
weight	20	0.01	400	292.27688789367676	0.7306922197341919	383	0.9575	100	3.850511312484741	3.36824951171875	13	0.13	True
weight	21	0.01	400	296.71742057800293	0.7417935514450074	386	0.965	100	3.870243549346924	3.3879818725585937	12	0.12	False
weight	22	0.01	400	289.8359718322754	0.7245899295806885	385	0.9625	100	3.837110757827759	3.3548492431640624	14	0.14	True
weight	23	0.01	400	293.40666580200195	0.7335166645050049	376	0.94	100	3.82818603515625	3.3459243774414062	15	0.15	True
weight	24	0.01	400	287.6922950744629	0.7192307376861572	382	0.955	100	3.7987589836120605	3.316497497558594	16	0.16	True
weight	25	0.01	400	283.3173313140869	0.7082933282852173	380	0.95	100	3.8432998657226562	3.3610382080078125	14	0.14	False
weight	26	0.01	400	283.3535346984863	0.7083838367462159	382	0.955	100	3.850985050201416	3.36872314453125	13	0.13	False
weight	27	0.01	400	282.5963649749756	0.706490912437439	380	0.95	100	3.8938121795654297	3.4115509033203124	14	0.14	False
weight	28	0.01	400	281.59184646606445	0.7039796161651611	385	0.9625	100	3.877925395965576	3.3956634521484377	14	0.14	False
weight	29	0.01	400	279.9236078262329	0.6998090195655823	382	0.955	100	3.867159843444824	3.384898681640625	15	0.15	False
weight	30	0.01	400	278.7438774108887	0.6968596935272217	379	0.9475	100	3.8581488132476807	3.375887145996094	15	0.15	False
weight	31	0.01	400	282.1446189880371	0.7053615474700927	386	0.965	100	3.908135175704956	3.4258740234375	12	0.12	False
weight	32	0.01	400	280.7674379348755	0.7019185948371888	385	0.9625	100	3.893134593963623	3.410872802734375	13	0.13	False
weight	33	0.01	400	276.087610244751	0.6902190256118774	382	0.955	100	3.870171308517456	3.3879095458984376	13	0.13	False
weight	34	0.01	400	273.1781482696533	0.6829453706741333	381	0.9525	100	3.8556597232818604	3.3733978271484375	15	0.15	False
weight	35	0.01	400	275.329891204834	0.688324728012085	384	0.96	100	3.856505870819092	3.374244384765625	15	0.15	False
weight	36	0.01	400	272.41930389404297	0.6810482597351074	383	0.9575	100	3.8409910202026367	3.3587295532226564	15	0.15	False
weight	37	0.01	400	272.2865180969238	0.6807162952423096	379	0.9475	100	3.8720693588256836	3.3898077392578125	15	0.15	False
weight	38	0.01	400	269.9606742858887	0.6749016857147216	385	0.9625	100	3.8559117317199707	3.3736505126953125	16	0.16	False
weight	39	0.01	400	268.1892080307007	0.6704730200767517	382	0.955	100	3.844243049621582	3.361981201171875	18	0.18	False
weight	40	0.01	400	265.1600008010864	0.662900002002716	384	0.96	100	3.835364818572998	3.3531033325195314	17	0.17	False
weight	41	0.01	400	265.94328689575195	0.6648582172393799	391	0.9775	100	3.8074145317077637	3.3251531982421874	18	0.18	False
weight	42	0.01	400	265.05728912353516	0.6626432228088379	378	0.945	100	3.805485486984253	3.323223876953125	17	0.17	False
weight	43	0.01	400	264.6012296676636	0.661503074169159	386	0.965	100	3.7718985080718994	3.2896368408203127	17	0.17	True
weight	44	0.01	400	266.53328800201416	0.6663332200050354	386	0.965	100	3.7728798389434814	3.2906182861328124	17	0.17	False
weight	45	0.01	400	265.9617929458618	0.6649044823646545	384	0.96	100	3.730577230453491	3.2483160400390627	18	0.18	True
weight	46	0.01	400	266.52184104919434	0.6663046026229859	380	0.95	100	3.738234758377075	3.2559735107421877	17	0.17	False
weight	47	0.01	400	267.7575740814209	0.6693939352035523	387	0.9675	100	3.7565758228302	3.2743145751953127	15	0.15	False
weight	48	0.01	400	266.21922302246094	0.6655480575561523	381	0.9525	100	3.7647597789764404	3.2824981689453123	17	0.17	False
weight	49	0.01	400	268.0329170227051	0.6700822925567627	383	0.9575	100	3.7706096172332764	3.2883477783203126	19	0.19	False
weight	50	0.01	400	268.74552154541016	0.6718638038635254	382	0.955	100	3.764455556869507	3.282193908691406	15	0.15	False
weight	51	0.01	400	265.9829902648926	0.6649574756622314	379	0.9475	100	3.7677738666534424	3.2855126953125	16	0.16	False
weight	52	0.01	400	265.8211193084717	0.6645527982711792	381	0.9525	100	3.7392516136169434	3.2569900512695313	18	0.18	False
weight	53	0.01	400	270.73097801208496	0.6768274450302124	383	0.9575	100	3.791618585586548	3.309356994628906	15	0.15	False
weight	54	0.01	400	268.64359283447266	0.6716089820861817	383	0.9575	100	3.779153347015381	3.2968914794921873	14	0.14	False
weight	55	0.01	400	264.6493196487427	0.6616232991218567	385	0.9625	100	3.7093794345855713	3.227117614746094	15	0.15	True
weight	56	0.01	400	262.81901836395264	0.6570475459098816	382	0.955	100	3.6931328773498535	3.21087158203125	16	0.16	True
weight	57	0.01	400	258.5035400390625	0.6462588500976563	386	0.965	100	3.705615520477295	3.2233538818359375	15	0.15	False
weight	58	0.01	400	258.17191982269287	0.6454297995567322	383	0.9575	100	3.6873135566711426	3.2050518798828125	16	0.16	True
weight	59	0.01	400	259.6339416503906	0.6490848541259766	386	0.965	100	3.692477226257324	3.2102154541015624	15	0.15	False
weight	60	0.01	400	258.03453254699707	0.6450863313674927	387	0.9675	100	3.7137413024902344	3.2314801025390625	16	0.16	False
weight	61	0.001	400	257.43497467041016	0.6435874366760254	390	0.975	100	3.733532428741455	3.251270751953125	17	0.17	False
weight	62	0.001	400	257.98623275756836	0.644965581893921	391	0.9775	100	3.7168357372283936	3.234573974609375	17	0.17	False
weight	63	0.001	400	255.23993015289307	0.6380998253822326	389	0.9725	100	3.7095885276794434	3.2273269653320313	16	0.16	False
weight	64	0.001	400	257.02395725250244	0.642559893131256	388	0.97	100	3.7108590602874756	3.2285971069335937	17	0.17	False
weight	65	0.001	400	256.4795560836792	0.641198890209198	384	0.96	100	3.7178726196289062	3.2356109619140625	16	0.16	False
weight	66	0.001	400	255.9828519821167	0.6399571299552917	389	0.9725	100	3.7188591957092285	3.2365972900390627	17	0.17	False
weight	67	0.001	400	253.3235034942627	0.6333087587356567	394	0.985	100	3.726060152053833	3.2437985229492186	18	0.18	False
weight	68	0.001	400	252.6572036743164	0.631643009185791	390	0.975	100	3.7214674949645996	3.239205627441406	15	0.15	False
weight	69	0.001	400	256.25975227355957	0.6406493806838989	390	0.975	100	3.722071409225464	3.2398101806640627	16	0.16	False
weight	70	0.001	400	252.62783241271973	0.6315695810317993	386	0.965	100	3.723325729370117	3.241064453125	15	0.15	False
weight	71	0.001	400	252.7329502105713	0.6318323755264282	386	0.965	100	3.718932628631592	3.236671142578125	16	0.16	False
weight	72	0.001	400	251.30580043792725	0.6282645010948181	394	0.985	100	3.711369752883911	3.2291079711914064	15	0.15	False
weight	73	0.001	400	253.59221839904785	0.6339805459976197	388	0.97	100	3.7243895530700684	3.2421282958984374	16	0.16	False
weight	74	0.001	400	254.49078559875488	0.6362269639968872	390	0.975	100	3.721147060394287	3.2388851928710936	16	0.16	False
weight	75	0.001	400	252.74534130096436	0.6318633532524109	388	0.97	100	3.707815408706665	3.22555419921875	16	0.16	False
weight	76	0.001	400	251.69525814056396	0.6292381453514099	387	0.9675	100	3.7051262855529785	3.222864990234375	17	0.17	False
weight	77	0.001	400	256.02490997314453	0.6400622749328613	388	0.97	100	3.7061872482299805	3.22392578125	17	0.17	False
weight	78	0.001	400	252.30245399475098	0.6307561349868774	391	0.9775	100	3.69229793548584	3.210036315917969	18	0.18	False
weight	79	0.001	400	256.8394184112549	0.6420985460281372	391	0.9775	100	3.708031415939331	3.2257699584960937	18	0.18	False
weight	80	0.001	400	251.84136295318604	0.629603407382965	393	0.9825	100	3.698669672012329	3.2164080810546873	17	0.17	False
weight	81	0.001	400	252.56151580810547	0.6314037895202637	389	0.9725	100	3.6978771686553955	3.215615234375	17	0.17	False
weight	82	0.001	400	252.7152805328369	0.6317882013320922	389	0.9725	100	3.6939330101013184	3.2116717529296874	16	0.16	False
weight	83	0.001	400	251.81636142730713	0.6295409035682679	391	0.9775	100	3.694369077682495	3.2121075439453124	17	0.17	False
weight	84	0.001	400	250.43174171447754	0.6260793542861939	390	0.975	100	3.707509994506836	3.2252484130859376	16	0.16	False
weight	85	0.001	400	252.29283046722412	0.6307320761680603	389	0.9725	100	3.6879522800445557	3.205690612792969	17	0.17	False
weight	86	0.001	400	250.18595600128174	0.6254648900032044	388	0.97	100	3.702549457550049	3.2202874755859376	17	0.17	False
weight	87	0.001	400	254.3268585205078	0.6358171463012695	389	0.9725	100	3.6808269023895264	3.198565673828125	17	0.17	True
weight	88	0.001	400	257.70253562927246	0.6442563390731811	387	0.9675	100	3.6765336990356445	3.1942718505859373	16	0.16	True
weight	89	0.001	400	253.59734344482422	0.6339933586120605	388	0.97	100	3.6886656284332275	3.20640380859375	17	0.17	False
weight	90	0.001	400	250.34773540496826	0.6258693385124207	393	0.9825	100	3.69219970703125	3.2099380493164062	18	0.18	False
weight	91	0.001	400	251.26104354858398	0.62815260887146	390	0.975	100	3.680229902267456	3.1979681396484376	17	0.17	False
weight	92	0.001	400	253.08966732025146	0.6327241683006286	388	0.97	100	3.6902096271514893	3.207947998046875	17	0.17	False
weight	93	0.001	400	252.4018039703369	0.6310045099258423	385	0.9625	100	3.6753976345062256	3.193135986328125	17	0.17	True
weight	94	0.001	400	250.43048858642578	0.6260762214660645	389	0.9725	100	3.6931982040405273	3.210936279296875	16	0.16	False
weight	95	0.001	400	250.77792739868164	0.6269448184967041	386	0.965	100	3.6882972717285156	3.2060357666015626	17	0.17	False
weight	96	0.001	400	250.7202844619751	0.6268007111549377	393	0.9825	100	3.685715913772583	3.2034542846679686	17	0.17	False
weight	97	0.001	400	248.4327793121338	0.6210819482803345	386	0.965	100	3.689724922180176	3.20746337890625	17	0.17	False
weight	98	0.001	400	248.7924976348877	0.6219812440872192	392	0.98	100	3.681584119796753	3.199322509765625	17	0.17	False
weight	99	0.001	400	250.45408248901367	0.6261352062225342	390	0.975	100	3.6657629013061523	3.1835012817382813	17	0.17	True
weight	100	0.001	400	249.59572315216064	0.6239893078804016	393	0.9825	100	3.688945770263672	3.206684265136719	16	0.16	False
bias	1	0.01	400	441.87947273254395	1.1046986818313598	301	0.7525	100	1.1309715509414673	0.648709716796875	78	0.78	True
bias	2	0.01	400	353.880765914917	0.8847019147872924	343	0.8575	100	0.889664888381958	0.40740318298339845	86	0.86	True
bias	3	0.01	400	320.33557319641113	0.8008389329910278	349	0.8725	100	0.8109205365180969	0.3286588668823242	89	0.89	True
bias	4	0.01	400	306.36145401000977	0.7659036350250245	373	0.9325	100	0.7638458013534546	0.2815841102600098	90	0.9	True
bias	5	0.01	400	285.8651638031006	0.7146629095077515	372	0.93	100	0.7546921968460083	0.27243045806884764	92	0.92	True
bias	6	0.01	400	273.6289291381836	0.6840723228454589	377	0.9425	100	0.7462177872657776	0.2639560317993164	92	0.92	True
bias	7	0.01	400	274.4571599960327	0.6861428999900818	369	0.9225	100	0.7414683103561401	0.2592066383361816	92	0.92	True
bias	8	0.01	400	267.69903087615967	0.6692475771903992	381	0.9525	100	0.7342252731323242	0.25196361541748047	93	0.93	True
bias	9	0.01	400	262.8230152130127	0.6570575380325318	376	0.94	100	0.7441149950027466	0.2618532562255859	93	0.93	False
bias	10	0.01	400	261.06140995025635	0.6526535248756409	380	0.95	100	0.7314373850822449	0.24917556762695312	92	0.92	True
bias	11	0.01	400	261.46014308929443	0.6536503577232361	379	0.9475	100	0.7296507358551025	0.24738899230957032	93	0.93	True
bias	12	0.01	400	261.71637630462646	0.6542909407615661	380	0.95	100	0.7287396192550659	0.24647789001464843	93	0.93	True
bias	13	0.01	400	256.5759744644165	0.6414399361610412	377	0.9425	100	0.732636570930481	0.250374813079834	93	0.93	False
bias	14	0.01	400	259.3650188446045	0.6484125471115112	378	0.945	100	0.7276144027709961	0.24535272598266603	94	0.94	True
bias	15	0.01	400	253.91190338134766	0.6347797584533691	380	0.95	100	0.7189310789108276	0.23666940689086913	94	0.94	True
bias	16	0.01	400	251.24412536621094	0.6281103134155274	385	0.9625	100	0.7296819686889648	0.2474202346801758	92	0.92	False
bias	17	0.01	400	252.13734245300293	0.6303433561325074	373	0.9325	100	0.7197146415710449	0.2374529266357422	96	0.96	False
bias	18	0.01	400	255.952543258667	0.6398813581466675	379	0.9475	100	0.723416268825531	0.24115459442138673	93	0.93	False
bias	19	0.01	400	250.73079013824463	0.6268269753456116	378	0.945	100	0.7248647212982178	0.24260301589965821	92	0.92	False
bias	20	0.01	400	247.91911697387695	0.6197977924346924	385	0.9625	100	0.7256931662559509	0.24343154907226563	92	0.92	False
bias	21	0.01	400	249.14981079101562	0.6228745269775391	382	0.955	100	0.7100302577018738	0.2277685546875	93	0.93	True
bias	22	0.01	400	246.58499717712402	0.6164624929428101	389	0.9725	100	0.7085465788841248	0.22628482818603515	92	0.92	True
bias	23	0.01	400	248.5504379272461	0.6213760948181153	379	0.9475	100	0.711125910282135	0.22886425018310547	93	0.93	False
bias	24	0.01	400	247.7220573425293	0.6193051433563233	378	0.945	100	0.7017068862915039	0.2194451904296875	94	0.94	True
bias	25	0.01	400	246.05856704711914	0.6151464176177979	385	0.9625	100	0.7024120688438416	0.22015045166015626	94	0.94	False
bias	26	0.01	400	248.0218906402588	0.620054726600647	380	0.95	100	0.7171900868415833	0.23492839813232422	93	0.93	False
bias	27	0.01	400	248.4789171218872	0.621197292804718	382	0.955	100	0.7237173318862915	0.24145565032958985	93	0.93	False
bias	28	0.01	400	246.57649040222168	0.6164412260055542	388	0.97	100	0.7191378474235535	0.23687618255615234	93	0.93	False
bias	29	0.01	400	243.67625045776367	0.6091906261444092	383	0.9575	100	0.7094553709030151	0.2271936798095703	94	0.94	False
bias	30	0.01	400	249.25011253356934	0.6231252813339233	378	0.945	100	0.7153310775756836	0.2330693244934082	93	0.93	False
bias	31	0.01	400	247.93565559387207	0.6198391389846801	379	0.9475	100	0.7136114239692688	0.23134975433349608	94	0.94	False
bias	32	0.01	400	246.12453365325928	0.6153113341331482	386	0.965	100	0.7182452082633972	0.23598358154296875	94	0.94	False
bias	33	0.01	400	247.24576950073242	0.618114423751831	380	0.95	100	0.7103499174118042	0.22808826446533204	94	0.94	False
bias	34	0.01	400	243.6773910522461	0.6091934776306153	385	0.9625	100	0.7120696306228638	0.22980789184570313	94	0.94	False
