case	top_k	variant	origin	extra_state_names	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_change_from_top_k	fidelity_change_from_top_k	posterior_kl_change_from_top_k
top_10	10	top_k	reused_lab04_prefix		11	1009764	0.08993417417391741	1e3aa38124f084dd39eab42a4d3f1ddf1ca86807812796c66a8318c05e7aa2cb	0.1915	0.2106	2.505739372253418	0.0	0.0	0.0
top_10_bn_gamma	10	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	31	1014564	0.09036168400397157	e949ecb657006da4021ae63ebb0592919e6e43fb320e2a9b0eac73e54281749d	0.1506	0.1551	2.853978092956543	-0.04089999999999999	-0.05550000000000002	0.348238720703125
top_10_downsample_conv	10	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	14	1181796	0.10525612648305832	7743e195d77756d1accde586685e40b0ccc0473879f4a7d5c8d026b25eb8cd66	0.1634	0.1759	2.7197736911773682	-0.028100000000000014	-0.03470000000000001	0.2140343189239502
top_10_bn_gamma_downsample	10	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	34	1186596	0.10568363631311248	a1f1c0047e5cbefc76fea0fd99ded8844cc863a77019f39284591f735946159c	0.1502	0.1589	2.8471186325073243	-0.0413	-0.051699999999999996	0.3413792602539063
top_10_stem_conv	10	stem_conv	trained_lab06	conv1.weight	12	1019172	0.09077209344082356	7ef9887e818759fed93b73e0da4c3ab337823abd00f0e861680a9a3cd7cd0e1a	0.1918	0.2053	2.5520076362609863	0.0002999999999999947	-0.005299999999999999	0.04626826400756823
top_10_all_extras	10	all_extras	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight,conv1.weight	35	1196004	0.10652155558001862	fde5621f28a06a746dd20ff4657ef4b98a304bafbcf60f54a539c8f9576298b1	0.1746	0.1878	2.6535768951416014	-0.0169	-0.022800000000000015	0.14783752288818341
top_11	11	top_k	reused_lab04_prefix		12	1599588	0.14246658209097196	9e79aefea1812c20f1a9d9685c72df04b97ec9bbe755ca20e84517929802afc8	0.1757	0.191	2.607457527542114	0.0	0.0	0.0
top_11_bn_gamma	11	bn_gamma	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight	32	1604388	0.14289409192102612	9aa977bb80af5fdc5295b9a627eacea0ad8b14853952a7dba1d505ab6fdd0536	0.1451	0.1556	2.897925239944458	-0.03059999999999999	-0.035400000000000015	0.2904677124023438
top_11_downsample_conv	11	downsample_conv	trained_lab06	layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	15	1771620	0.15778853440011287	4d9b999809211c67e553a2117f56136d508ca909cea79130b645a5c4b8dd98b0	0.1486	0.1618	2.7897118034362793	-0.027099999999999985	-0.029200000000000004	0.1822542758941652
top_11_bn_gamma_downsample	11	bn_gamma_downsample	trained_lab06	bn1.weight,layer1.0.bn1.weight,layer1.0.bn2.weight,layer1.1.bn1.weight,layer1.1.bn2.weight,layer2.0.bn1.weight,layer2.0.bn2.weight,layer2.0.downsample.1.weight,layer2.1.bn1.weight,layer2.1.bn2.weight,layer3.0.bn1.weight,layer3.0.bn2.weight,layer3.0.downsample.1.weight,layer3.1.bn1.weight,layer3.1.bn2.weight,layer4.0.bn1.weight,layer4.0.bn2.weight,layer4.0.downsample.1.weight,layer4.1.bn1.weight,layer4.1.bn2.weight,layer2.0.downsample.0.weight,layer3.0.downsample.0.weight,layer4.0.downsample.0.weight	35	1776420	0.15821604423016702	8230b3e2583b9dbd016cf2775a839611b180d5807dad66bc34918da2a01f20dd	0.1458	0.1545	2.8763459381103518	-0.029899999999999982	-0.036500000000000005	0.26888841056823765
