case	top_k	variant	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
top_10_bn_gamma	10	bn_gamma	1	0.01	400	1936.6284713745117	4.841571178436279	10	0.025	100	4.7737250328063965	4.291463012695313	3	0.03	True
top_10_bn_gamma	10	bn_gamma	2	0.01	400	1457.4945983886719	3.64373649597168	98	0.245	100	4.734782695770264	4.252520751953125	2	0.02	True
top_10_bn_gamma	10	bn_gamma	3	0.01	400	1160.6953964233398	2.9017384910583495	185	0.4625	100	4.470560073852539	3.98829833984375	9	0.09	True
top_10_bn_gamma	10	bn_gamma	4	0.01	400	953.0048751831055	2.3825121879577638	246	0.615	100	4.326523780822754	3.8442620849609375	11	0.11	True
top_10_bn_gamma	10	bn_gamma	5	0.01	400	767.8096084594727	1.9195240211486817	307	0.7675	100	4.288598537445068	3.806336669921875	15	0.15	True
top_10_bn_gamma	10	bn_gamma	6	0.01	400	647.0765075683594	1.6176912689208984	337	0.8425	100	4.249148368835449	3.766886901855469	12	0.12	True
top_10_bn_gamma	10	bn_gamma	7	0.01	400	565.599422454834	1.413998556137085	355	0.8875	100	4.23053503036499	3.7482730102539064	9	0.09	True
top_10_bn_gamma	10	bn_gamma	8	0.01	400	498.5445137023926	1.2463612842559815	361	0.9025	100	4.111930847167969	3.629669189453125	12	0.12	True
top_10_bn_gamma	10	bn_gamma	9	0.01	400	437.19993591308594	1.0929998397827148	365	0.9125	100	4.118403911590576	3.6361419677734377	13	0.13	False
top_10_bn_gamma	10	bn_gamma	10	0.01	400	410.5633964538574	1.0264084911346436	378	0.945	100	4.045165061950684	3.5629034423828125	14	0.14	True
top_10_bn_gamma	10	bn_gamma	11	0.01	400	386.78725814819336	0.9669681453704834	372	0.93	100	4.037385940551758	3.55512451171875	13	0.13	True
top_10_bn_gamma	10	bn_gamma	12	0.01	400	379.67834854125977	0.9491958713531494	378	0.945	100	4.0281548500061035	3.545893249511719	14	0.14	True
top_10_bn_gamma	10	bn_gamma	13	0.01	400	373.31740283966064	0.9332935070991516	376	0.94	100	4.021323204040527	3.539061279296875	16	0.16	True
top_10_bn_gamma	10	bn_gamma	14	0.01	400	362.74951171875	0.906873779296875	379	0.9475	100	3.966768741607666	3.4845068359375	16	0.16	True
top_10_bn_gamma	10	bn_gamma	15	0.01	400	349.5655174255371	0.8739137935638428	380	0.95	100	3.921558141708374	3.4392962646484375	15	0.15	True
top_10_bn_gamma	10	bn_gamma	16	0.01	400	333.96647357940674	0.8349161839485169	381	0.9525	100	3.9541172981262207	3.4718560791015625	15	0.15	False
top_10_bn_gamma	10	bn_gamma	17	0.01	400	320.7979202270508	0.801994800567627	385	0.9625	100	3.8986668586730957	3.416405029296875	18	0.18	True
top_10_bn_gamma	10	bn_gamma	18	0.01	400	326.1012954711914	0.8152532386779785	384	0.96	100	3.9550559520721436	3.472794189453125	15	0.15	False
top_10_bn_gamma	10	bn_gamma	19	0.01	400	314.1523914337158	0.7853809785842896	381	0.9525	100	3.981919527053833	3.499658203125	16	0.16	False
top_10_bn_gamma	10	bn_gamma	20	0.01	400	314.85304260253906	0.7871326065063476	384	0.96	100	3.9201409816741943	3.4378793334960935	12	0.12	False
top_10_bn_gamma	10	bn_gamma	21	0.01	400	310.9461784362793	0.7773654460906982	380	0.95	100	3.909529447555542	3.4272674560546874	14	0.14	False
top_10_bn_gamma	10	bn_gamma	22	0.01	400	302.4739532470703	0.7561848831176757	383	0.9575	100	3.9203574657440186	3.4380963134765623	14	0.14	False
top_10_bn_gamma	10	bn_gamma	23	0.01	400	305.84203720092773	0.7646050930023194	378	0.945	100	3.9209132194519043	3.4386517333984377	17	0.17	False
top_10_bn_gamma	10	bn_gamma	24	0.01	400	307.25930976867676	0.7681482744216919	377	0.9425	100	3.9097790718078613	3.42751708984375	14	0.14	False
top_10_bn_gamma	10	bn_gamma	25	0.01	400	296.81636238098145	0.7420409059524536	388	0.97	100	3.878031015396118	3.3957696533203126	14	0.14	True
top_10_bn_gamma	10	bn_gamma	26	0.01	400	291.0968208312988	0.727742052078247	378	0.945	100	3.8891007900238037	3.4068389892578126	15	0.15	False
top_10_bn_gamma	10	bn_gamma	27	0.01	400	290.3558540344238	0.7258896350860595	380	0.95	100	3.8349480628967285	3.3526861572265627	14	0.14	True
top_10_bn_gamma	10	bn_gamma	28	0.01	400	289.16093254089355	0.7229023313522339	381	0.9525	100	3.833991289138794	3.351729736328125	15	0.15	True
top_10_bn_gamma	10	bn_gamma	29	0.01	400	285.63181495666504	0.7140795373916626	384	0.96	100	3.7985785007476807	3.316317138671875	14	0.14	True
top_10_bn_gamma	10	bn_gamma	30	0.01	400	285.8128089904785	0.7145320224761963	388	0.97	100	3.782618522644043	3.3003570556640627	17	0.17	True
top_10_bn_gamma	10	bn_gamma	31	0.01	400	287.23600578308105	0.7180900144577026	383	0.9575	100	3.7476446628570557	3.2653826904296874	16	0.16	True
top_10_bn_gamma	10	bn_gamma	32	0.01	400	285.8440294265747	0.7146100735664368	380	0.95	100	3.7330949306488037	3.2508331298828126	17	0.17	True
top_10_bn_gamma	10	bn_gamma	33	0.01	400	284.5194683074951	0.7112986707687378	377	0.9425	100	3.762402057647705	3.280140380859375	16	0.16	False
top_10_bn_gamma	10	bn_gamma	34	0.01	400	282.15385913848877	0.7053846478462219	382	0.955	100	3.7646703720092773	3.282408447265625	16	0.16	False
top_10_bn_gamma	10	bn_gamma	35	0.01	400	278.37683486938477	0.695942087173462	383	0.9575	100	3.762576103210449	3.280314636230469	17	0.17	False
top_10_bn_gamma	10	bn_gamma	36	0.01	400	277.89070320129395	0.6947267580032349	382	0.955	100	3.7676751613616943	3.2854135131835935	15	0.15	False
top_10_bn_gamma	10	bn_gamma	37	0.01	400	276.87279891967773	0.6921819972991944	385	0.9625	100	3.817056894302368	3.334794921875	14	0.14	False
top_10_bn_gamma	10	bn_gamma	38	0.01	400	276.7759475708008	0.691939868927002	378	0.945	100	3.843165874481201	3.360904541015625	14	0.14	False
top_10_bn_gamma	10	bn_gamma	39	0.01	400	272.65406227111816	0.6816351556777954	381	0.9525	100	3.7959582805633545	3.3136965942382814	15	0.15	False
top_10_bn_gamma	10	bn_gamma	40	0.01	400	272.1002902984619	0.6802507257461547	383	0.9575	100	3.7861382961273193	3.3038763427734374	15	0.15	False
top_10_bn_gamma	10	bn_gamma	41	0.01	400	270.8070430755615	0.6770176076889038	382	0.955	100	3.7721753120422363	3.2899136352539062	15	0.15	False
top_10_bn_gamma	10	bn_gamma	42	0.01	400	271.56813526153564	0.6789203381538391	387	0.9675	100	3.787245750427246	3.304984130859375	15	0.15	False
top_10_bn_gamma	10	bn_gamma	43	0.01	400	269.0013542175293	0.6725033855438233	389	0.9725	100	3.7715182304382324	3.289256591796875	14	0.14	False
top_10_bn_gamma	10	bn_gamma	44	0.01	400	272.3793029785156	0.6809482574462891	378	0.945	100	3.7820284366607666	3.299766845703125	17	0.17	False
top_10_bn_gamma	10	bn_gamma	45	0.01	400	273.8320426940918	0.6845801067352295	384	0.96	100	3.7791459560394287	3.2968844604492187	15	0.15	False
top_10_bn_gamma	10	bn_gamma	46	0.01	400	268.08434867858887	0.6702108716964722	380	0.95	100	3.768357753753662	3.28609619140625	18	0.18	False
top_10_bn_gamma	10	bn_gamma	47	0.01	400	267.47961044311523	0.6686990261077881	389	0.9725	100	3.7669014930725098	3.284639892578125	16	0.16	False
top_10_bn_gamma	10	bn_gamma	48	0.01	400	267.5441646575928	0.6688604116439819	381	0.9525	100	3.71443510055542	3.2321731567382814	20	0.2	True
