case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
no_gamma	1	0.01	400	1851.0299072265625	4.627574768066406	5	0.0125	100	4.6808085441589355	4.198546752929688	0	0.0	True
no_gamma	2	0.01	400	1803.646095275879	4.509115238189697	11	0.0275	100	4.641273498535156	4.159012145996094	0	0.0	True
no_gamma	3	0.01	400	1754.1260223388672	4.385315055847168	25	0.0625	100	4.59613037109375	4.113868713378906	0	0.0	True
no_gamma	4	0.01	400	1711.2448501586914	4.278112125396729	52	0.13	100	4.561459064483643	4.079197998046875	2	0.02	True
no_gamma	5	0.01	400	1663.3062591552734	4.158265647888183	82	0.205	100	4.530750751495361	4.04848876953125	1	0.01	True
no_gamma	6	0.01	400	1617.0342102050781	4.0425855255126955	107	0.2675	100	4.506770610809326	4.02450927734375	3	0.03	True
no_gamma	7	0.01	400	1576.5019836425781	3.941254959106445	114	0.285	100	4.48804235458374	4.005780639648438	5	0.05	True
no_gamma	8	0.01	400	1538.1518020629883	3.845379505157471	120	0.3	100	4.4703216552734375	3.9880596923828127	3	0.03	True
no_gamma	9	0.01	400	1490.3537673950195	3.725884418487549	131	0.3275	100	4.45127010345459	3.969008483886719	3	0.03	True
no_gamma	10	0.01	400	1449.0165061950684	3.622541265487671	142	0.355	100	4.426723957061768	3.9444625854492186	4	0.04	True
no_gamma	11	0.01	400	1413.031608581543	3.5325790214538575	162	0.405	100	4.402522087097168	3.9202606201171877	5	0.05	True
no_gamma	12	0.01	400	1371.2163009643555	3.4280407524108885	171	0.4275	100	4.384682655334473	3.902420959472656	5	0.05	True
no_gamma	13	0.01	400	1332.8685455322266	3.3321713638305663	182	0.455	100	4.363983154296875	3.88172119140625	5	0.05	True
no_gamma	14	0.01	400	1303.158390045166	3.257895975112915	188	0.47	100	4.34358549118042	3.8613238525390625	6	0.06	True
no_gamma	15	0.01	400	1265.4848937988281	3.1637122344970705	204	0.51	100	4.3217692375183105	3.839508056640625	6	0.06	True
no_gamma	16	0.01	400	1224.3572616577148	3.060893154144287	223	0.5575	100	4.303164005279541	3.8209024047851563	6	0.06	True
no_gamma	17	0.01	400	1192.6634216308594	2.9816585540771485	232	0.58	100	4.27958869934082	3.797326965332031	6	0.06	True
no_gamma	18	0.01	400	1164.0369720458984	2.910092430114746	245	0.6125	100	4.253653526306152	3.7713922119140624	6	0.06	True
no_gamma	19	0.01	400	1122.993797302246	2.807484493255615	257	0.6425	100	4.232853889465332	3.7505926513671874	6	0.06	True
no_gamma	20	0.01	400	1093.5569763183594	2.7338924407958984	261	0.6525	100	4.216521739959717	3.7342596435546875	6	0.06	True
no_gamma	21	0.01	400	1059.5925064086914	2.6489812660217287	273	0.6825	100	4.19655179977417	3.7142898559570314	6	0.06	True
no_gamma	22	0.01	400	1027.106071472168	2.56776517868042	288	0.72	100	4.179769039154053	3.697507629394531	8	0.08	True
no_gamma	23	0.01	400	1000.8866996765137	2.5022167491912843	283	0.7075	100	4.158801555633545	3.6765399169921875	9	0.09	True
no_gamma	24	0.01	400	969.487720489502	2.423719301223755	297	0.7425	100	4.144328594207764	3.6620672607421874	8	0.08	True
no_gamma	25	0.01	400	938.7753868103027	2.346938467025757	301	0.7525	100	4.121395111083984	3.63913330078125	9	0.09	True
no_gamma	26	0.01	400	913.5857238769531	2.283964309692383	305	0.7625	100	4.10475492477417	3.622493896484375	9	0.09	True
no_gamma	27	0.01	400	886.2727088928223	2.2156817722320556	311	0.7775	100	4.08103609085083	3.5987744140625	10	0.1	True
no_gamma	28	0.01	400	857.231517791748	2.1430787944793703	314	0.785	100	4.0680365562438965	3.585775146484375	9	0.09	True
no_gamma	29	0.01	400	829.6806907653809	2.074201726913452	329	0.8225	100	4.052737712860107	3.570476379394531	10	0.1	True
no_gamma	30	0.01	400	809.2786293029785	2.0231965732574464	330	0.825	100	4.035665988922119	3.5534042358398437	9	0.09	True
no_gamma	31	0.01	400	788.0525283813477	1.970131320953369	335	0.8375	100	4.015920639038086	3.5336590576171876	10	0.1	True
no_gamma	32	0.01	400	761.7785606384277	1.9044464015960694	341	0.8525	100	3.995850086212158	3.5135882568359373	10	0.1	True
no_gamma	33	0.01	400	744.392707824707	1.8609817695617676	337	0.8425	100	3.9765355587005615	3.494273681640625	10	0.1	True
no_gamma	34	0.01	400	716.6167793273926	1.7915419483184813	347	0.8675	100	3.9544613361358643	3.47219970703125	10	0.1	True
no_gamma	35	0.01	400	702.6249923706055	1.7565624809265137	353	0.8825	100	3.9317219257354736	3.44946044921875	10	0.1	True
no_gamma	36	0.01	400	674.1884689331055	1.6854711723327638	350	0.875	100	3.9144692420959473	3.4322076416015626	11	0.11	True
no_gamma	37	0.01	400	655.664966583252	1.63916241645813	358	0.895	100	3.89623761177063	3.4139764404296873	12	0.12	True
no_gamma	38	0.01	400	636.5434303283691	1.5913585758209228	354	0.885	100	3.88887357711792	3.4066119384765625	12	0.12	True
no_gamma	39	0.01	400	621.794376373291	1.5544859409332275	360	0.9	100	3.8674659729003906	3.3852044677734376	12	0.12	True
no_gamma	40	0.01	400	600.7000503540039	1.5017501258850097	358	0.895	100	3.8518896102905273	3.3696282958984374	12	0.12	True
no_gamma	41	0.01	400	590.4754619598389	1.4761886548995973	359	0.8975	100	3.836721658706665	3.3544601440429687	13	0.13	True
no_gamma	42	0.01	400	575.3643493652344	1.438410873413086	354	0.885	100	3.8275768756866455	3.3453155517578126	11	0.11	True
