case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
feature_conv5_downsample_stem_bn1	1	0.01	400	1848.1068725585938	4.620267181396485	3	0.0075	100	4.6545209884643555	4.172259521484375	0	0.0	True
feature_conv5_downsample_stem_bn1	2	0.01	400	1805.1912384033203	4.5129780960083	11	0.0275	100	4.6600823402404785	4.177821044921875	1	0.01	False
feature_conv5_downsample_stem_bn1	3	0.01	400	1762.278663635254	4.405696659088135	30	0.075	100	4.629729747772217	4.147467956542969	1	0.01	True
feature_conv5_downsample_stem_bn1	4	0.01	400	1723.3364562988281	4.30834114074707	63	0.1575	100	4.608593463897705	4.126332092285156	2	0.02	True
feature_conv5_downsample_stem_bn1	5	0.01	400	1684.8335723876953	4.212083930969238	97	0.2425	100	4.593059062957764	4.110797424316406	2	0.02	True
feature_conv5_downsample_stem_bn1	6	0.01	400	1644.0712509155273	4.110178127288818	118	0.295	100	4.574103355407715	4.091842041015625	3	0.03	True
feature_conv5_downsample_stem_bn1	7	0.01	400	1609.5393371582031	4.023848342895508	135	0.3375	100	4.566796779632568	4.084535217285156	5	0.05	True
feature_conv5_downsample_stem_bn1	8	0.01	400	1575.3633613586426	3.9384084033966062	146	0.365	100	4.557399272918701	4.075137939453125	5	0.05	True
feature_conv5_downsample_stem_bn1	9	0.01	400	1536.461311340332	3.84115327835083	146	0.365	100	4.548954486846924	4.066692810058594	7	0.07	True
feature_conv5_downsample_stem_bn1	10	0.01	400	1501.1091041564941	3.7527727603912355	158	0.395	100	4.539206027984619	4.056944274902344	6	0.06	True
feature_conv5_downsample_stem_bn1	11	0.01	400	1467.814353942871	3.6695358848571775	174	0.435	100	4.527177810668945	4.044915771484375	7	0.07	True
feature_conv5_downsample_stem_bn1	12	0.01	400	1429.9203186035156	3.574800796508789	182	0.455	100	4.523288249969482	4.041026916503906	6	0.06	True
feature_conv5_downsample_stem_bn1	13	0.01	400	1392.9555206298828	3.482388801574707	193	0.4825	100	4.507331371307373	4.025069885253906	8	0.08	True
feature_conv5_downsample_stem_bn1	14	0.01	400	1360.8688926696777	3.4021722316741942	197	0.4925	100	4.505812168121338	4.0235507202148435	8	0.08	True
