unit编号	state名称	state类型	模块	计算	输入	输出	TensorShield Top-17
—	—	—	输入	RGB 图片	—	3×32×32	—
0	conv1.weight	parameter	conv1	7×7 卷积，stride=2，padding=3，bias=False	3×32×32	64×16×16	—
1	bn1.weight	parameter	bn1	BatchNorm2d(64)	64×16×16	64×16×16	—
2	bn1.bias	parameter	bn1	BatchNorm2d(64)	64×16×16	64×16×16	—
3	bn1.running_mean	buffer	bn1	BatchNorm2d(64)	64×16×16	64×16×16	—
4	bn1.running_var	buffer	bn1	BatchNorm2d(64)	64×16×16	64×16×16	—
5	bn1.num_batches_tracked	buffer	bn1	BatchNorm2d(64)	64×16×16	64×16×16	—
—	—	—	relu	ReLU(inplace=True)	64×16×16	64×16×16	—
—	—	—	maxpool	3×3 最大池化，stride=2，padding=1	64×16×16	64×8×8	—
—	—	—	layer1.0.identity	恒等映射	64×8×8	64×8×8	—
6	layer1.0.conv1.weight	parameter	layer1.0.conv1	3×3 卷积，stride=1，padding=1，bias=False	64×8×8	64×8×8	Top-4
7	layer1.0.bn1.weight	parameter	layer1.0.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
8	layer1.0.bn1.bias	parameter	layer1.0.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
9	layer1.0.bn1.running_mean	buffer	layer1.0.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
10	layer1.0.bn1.running_var	buffer	layer1.0.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
11	layer1.0.bn1.num_batches_tracked	buffer	layer1.0.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
—	—	—	layer1.0.relu（第1次）	ReLU(inplace=True)	64×8×8	64×8×8	—
12	layer1.0.conv2.weight	parameter	layer1.0.conv2	3×3 卷积，stride=1，padding=1，bias=False	64×8×8	64×8×8	Top-8
13	layer1.0.bn2.weight	parameter	layer1.0.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
14	layer1.0.bn2.bias	parameter	layer1.0.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
15	layer1.0.bn2.running_mean	buffer	layer1.0.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
16	layer1.0.bn2.running_var	buffer	layer1.0.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
17	layer1.0.bn2.num_batches_tracked	buffer	layer1.0.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
—	—	—	layer1.0.add	主分支与 identity 逐元素相加	64×8×8 + 64×8×8	64×8×8	—
—	—	—	layer1.0.relu（第2次）	ReLU(inplace=True)	64×8×8	64×8×8	—
—	—	—	layer1.1.identity	恒等映射	64×8×8	64×8×8	—
18	layer1.1.conv1.weight	parameter	layer1.1.conv1	3×3 卷积，stride=1，padding=1，bias=False	64×8×8	64×8×8	Top-1
19	layer1.1.bn1.weight	parameter	layer1.1.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
20	layer1.1.bn1.bias	parameter	layer1.1.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
21	layer1.1.bn1.running_mean	buffer	layer1.1.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
22	layer1.1.bn1.running_var	buffer	layer1.1.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
23	layer1.1.bn1.num_batches_tracked	buffer	layer1.1.bn1	BatchNorm2d(64)	64×8×8	64×8×8	—
—	—	—	layer1.1.relu（第1次）	ReLU(inplace=True)	64×8×8	64×8×8	—
24	layer1.1.conv2.weight	parameter	layer1.1.conv2	3×3 卷积，stride=1，padding=1，bias=False	64×8×8	64×8×8	Top-5
25	layer1.1.bn2.weight	parameter	layer1.1.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
26	layer1.1.bn2.bias	parameter	layer1.1.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
27	layer1.1.bn2.running_mean	buffer	layer1.1.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
28	layer1.1.bn2.running_var	buffer	layer1.1.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
29	layer1.1.bn2.num_batches_tracked	buffer	layer1.1.bn2	BatchNorm2d(64)	64×8×8	64×8×8	—
—	—	—	layer1.1.add	主分支与 identity 逐元素相加	64×8×8 + 64×8×8	64×8×8	—
—	—	—	layer1.1.relu（第2次）	ReLU(inplace=True)	64×8×8	64×8×8	—
30	layer2.0.conv1.weight	parameter	layer2.0.conv1	3×3 卷积，stride=2，padding=1，bias=False	64×8×8	128×4×4	Top-2
31	layer2.0.bn1.weight	parameter	layer2.0.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
32	layer2.0.bn1.bias	parameter	layer2.0.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
33	layer2.0.bn1.running_mean	buffer	layer2.0.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
34	layer2.0.bn1.running_var	buffer	layer2.0.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
35	layer2.0.bn1.num_batches_tracked	buffer	layer2.0.bn1	BatchNorm2d(128)	128×4×4	128×4×4	—
—	—	—	layer2.0.relu（第1次）	ReLU(inplace=True)	128×4×4	128×4×4	—
36	layer2.0.conv2.weight	parameter	layer2.0.conv2	3×3 卷积，stride=1，padding=1，bias=False	128×4×4	128×4×4	Top-6
37	layer2.0.bn2.weight	parameter	layer2.0.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
38	layer2.0.bn2.bias	parameter	layer2.0.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
39	layer2.0.bn2.running_mean	buffer	layer2.0.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
40	layer2.0.bn2.running_var	buffer	layer2.0.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
41	layer2.0.bn2.num_batches_tracked	buffer	layer2.0.bn2	BatchNorm2d(128)	128×4×4	128×4×4	—
42	layer2.0.downsample.0.weight	parameter	layer2.0.downsample.0	1×1 卷积，stride=2，padding=0，bias=False	64×8×8	128×4×4	—
43	layer2.0.downsample.1.weight	parameter	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
44	layer2.0.downsample.1.bias	parameter	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
45	layer2.0.downsample.1.running_mean	buffer	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
46	layer2.0.downsample.1.running_var	buffer	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
47	layer2.0.downsample.1.num_batches_tracked	buffer	layer2.0.downsample.1	BatchNorm2d(128)	128×4×4	128×4×4	—
