seed	case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
43	conv2_protected	1	0.01	400	1914.066261291504	4.78516565322876	14	0.035	100	4.958364486694336	4.431826782226563	4	0.04	True
43	conv2_protected	2	0.01	400	1522.2596817016602	3.8056492042541503	74	0.185	100	4.859767913818359	4.3332302856445315	2	0.02	True
43	conv2_protected	3	0.01	400	1235.2846031188965	3.0882115077972414	146	0.365	100	4.570491313934326	4.043953552246093	8	0.08	True
43	conv2_protected	4	0.01	400	1006.9551086425781	2.5173877716064452	243	0.6075	100	4.410215377807617	3.8836773681640624	9	0.09	True
43	conv2_protected	5	0.01	400	851.4356994628906	2.1285892486572267	279	0.6975	100	4.3522629737854	3.825724792480469	11	0.11	True
43	conv2_protected	6	0.01	400	718.3257751464844	1.7958144378662109	310	0.775	100	4.288345813751221	3.761807861328125	12	0.12	True
43	conv2_protected	7	0.01	400	609.8080673217773	1.5245201683044434	346	0.865	100	4.185969829559326	3.6594314575195312	13	0.13	True
43	conv2_protected	8	0.01	400	535.1411209106445	1.3378528022766114	361	0.9025	100	4.2262067794799805	3.6996685791015627	12	0.12	False
43	conv2_protected	9	0.01	400	503.3121109008789	1.2582802772521973	362	0.905	100	4.3047614097595215	3.7782232666015627	10	0.1	False
43	conv2_protected	10	0.01	400	475.82018089294434	1.1895504522323608	360	0.9	100	4.2644267082214355	3.73788818359375	10	0.1	False
43	conv2_protected	11	0.01	400	423.02058029174805	1.0575514507293702	376	0.94	100	4.211036682128906	3.684498596191406	11	0.11	False
43	conv2_protected	12	0.01	400	407.5737953186035	1.0189344882965088	372	0.93	100	4.098066806793213	3.5715289306640625	16	0.16	True
43	conv2_protected	13	0.01	400	372.285400390625	0.9307135009765625	381	0.9525	100	4.142285346984863	3.615747375488281	11	0.11	False
43	conv2_protected	14	0.01	400	355.67386627197266	0.8891846656799316	383	0.9575	100	4.09971809387207	3.5731802368164063	14	0.14	False
43	conv2_protected	15	0.01	400	340.1613349914551	0.8504033374786377	385	0.9625	100	4.150988578796387	3.624450378417969	14	0.14	False
43	conv2_protected	16	0.01	400	337.5260887145996	0.843815221786499	382	0.955	100	4.057171821594238	3.5306341552734377	12	0.12	True
43	conv2_protected	17	0.01	400	333.00400733947754	0.8325100183486939	379	0.9475	100	4.071760177612305	3.54522216796875	12	0.12	False
43	conv2_protected	18	0.01	400	320.23572158813477	0.8005893039703369	388	0.97	100	4.070709705352783	3.5441717529296874	15	0.15	False
43	conv2_protected	19	0.01	400	314.59979820251465	0.7864994955062866	390	0.975	100	4.038289546966553	3.511751708984375	12	0.12	True
43	conv2_protected	20	0.01	400	309.5403518676758	0.7738508796691894	390	0.975	100	4.06102180480957	3.534483642578125	14	0.14	False
43	conv2_protected	21	0.01	400	306.32475090026855	0.7658118772506713	379	0.9475	100	4.023926258087158	3.4973883056640624	12	0.12	True
43	conv2_protected	22	0.01	400	309.9013671875	0.77475341796875	380	0.95	100	4.018238067626953	3.491700439453125	14	0.14	True
43	conv2_protected	23	0.01	400	308.57189178466797	0.7714297294616699	382	0.955	100	4.0503363609313965	3.523798522949219	13	0.13	False
43	conv2_protected	24	0.01	400	299.5627145767212	0.748906786441803	381	0.9525	100	4.04726505279541	3.520726623535156	14	0.14	False
43	conv2_protected	25	0.01	400	300.1264953613281	0.7503162384033203	389	0.9725	100	4.018697261810303	3.492159423828125	10	0.1	False
43	conv2_protected	26	0.01	400	296.9892816543579	0.7424732041358948	390	0.975	100	4.023634910583496	3.4970968627929686	13	0.13	False
43	conv2_protected	27	0.01	400	298.61029052734375	0.7465257263183593	384	0.96	100	4.018827438354492	3.4922900390625	12	0.12	False
43	conv2_protected	28	0.01	400	301.0151138305664	0.7525377845764161	382	0.955	100	4.009398460388184	3.482860107421875	13	0.13	True
43	conv2_protected	29	0.01	400	308.46016216278076	0.7711504054069519	386	0.965	100	4.057919502258301	3.5313815307617187	13	0.13	False
43	conv2_protected	30	0.01	400	311.3716869354248	0.778429217338562	380	0.95	100	4.1205034255981445	3.593965759277344	12	0.12	False
43	conv2_protected	31	0.01	400	292.4930305480957	0.7312325763702393	386	0.965	100	4.0764007568359375	3.5498626708984373	14	0.14	False
43	conv2_protected	32	0.01	400	287.2922582626343	0.7182306456565857	390	0.975	100	3.98685884475708	3.4603207397460936	17	0.17	True
43	conv2_protected	33	0.01	400	284.27499198913574	0.7106874799728393	384	0.96	100	4.038108825683594	3.5115707397460936	12	0.12	False
43	conv2_protected	34	0.01	400	280.4302978515625	0.7010757446289062	386	0.965	100	3.9881792068481445	3.4616412353515624	14	0.14	False
43	conv2_protected	35	0.01	400	279.00744247436523	0.6975186061859131	382	0.955	100	3.9786765575408936	3.452138671875	16	0.16	True
43	conv2_protected	36	0.01	400	281.6671075820923	0.7041677689552307	391	0.9775	100	3.993036985397339	3.4664990234375	14	0.14	False
43	conv2_protected	37	0.01	400	284.1225414276123	0.7103063535690307	384	0.96	100	3.9790501594543457	3.452512512207031	12	0.12	False
43	conv2_protected	38	0.01	400	283.08497428894043	0.7077124357223511	382	0.955	100	3.975334882736206	3.4487969970703123	17	0.17	True
43	conv2_protected	39	0.01	400	279.5014762878418	0.6987536907196045	383	0.9575	100	3.9465737342834473	3.4200360107421877	16	0.16	True
43	conv2_protected	40	0.01	400	274.55731201171875	0.6863932800292969	390	0.975	100	3.943359851837158	3.4168218994140624	16	0.16	True
43	conv2_protected	41	0.01	400	273.0913305282593	0.6827283263206482	387	0.9675	100	3.9292798042297363	3.40274169921875	15	0.15	True
43	conv2_protected	42	0.01	400	272.470591545105	0.6811764788627624	386	0.965	100	3.95108699798584	3.4245489501953124	15	0.15	False
43	conv2_protected	43	0.01	400	272.79349517822266	0.6819837379455567	388	0.97	100	3.986292600631714	3.459754638671875	15	0.15	False
43	conv2_protected	44	0.01	400	273.20389556884766	0.6830097389221191	384	0.96	100	3.972186803817749	3.4456488037109376	16	0.16	False
43	conv2_protected	45	0.01	400	271.34215354919434	0.6783553838729859	391	0.9775	100	3.9760196208953857	3.449481201171875	12	0.12	False
43	conv2_protected	46	0.01	400	271.1275815963745	0.6778189539909363	385	0.9625	100	3.9732449054718018	3.44670654296875	12	0.12	False
43	conv2_protected	47	0.01	400	266.82967948913574	0.6670741987228394	387	0.9675	100	3.955017566680908	3.4284796142578124	15	0.15	False
43	conv2_protected	48	0.01	400	267.38600158691406	0.6684650039672851	386	0.965	100	3.9720823764801025	3.44554443359375	13	0.13	False
43	conv2_protected	49	0.01	400	265.98505783081055	0.6649626445770264	384	0.96	100	3.9584476947784424	3.4319097900390627	13	0.13	False
43	conv2_protected	50	0.01	400	262.96109771728516	0.6574027442932129	388	0.97	100	3.940347194671631	3.4138092041015624	14	0.14	False
43	conv2_protected	51	0.01	400	260.5363368988037	0.6513408422470093	388	0.97	100	3.9067320823669434	3.380194091796875	15	0.15	True
43	conv2_protected	52	0.01	400	264.91012954711914	0.6622753238677979	386	0.965	100	3.945042133331299	3.418504638671875	14	0.14	False
43	conv2_protected	53	0.01	400	264.9760551452637	0.6624401378631591	385	0.9625	100	4.012734889984131	3.4861968994140624	12	0.12	False
43	conv2_protected	54	0.01	400	267.517183303833	0.6687929582595825	390	0.975	100	4.0519938468933105	3.5254562377929686	12	0.12	False
43	conv2_protected	55	0.01	400	260.4189739227295	0.6510474348068237	387	0.9675	100	4.033051490783691	3.5065133666992185	12	0.12	False
43	conv2_protected	56	0.01	400	263.0617866516113	0.6576544666290283	385	0.9625	100	4.010372638702393	3.4838348388671876	14	0.14	False
43	conv2_protected	57	0.01	400	264.03829193115234	0.6600957298278809	385	0.9625	100	4.00993013381958	3.483392639160156	14	0.14	False
