seed	case	utilization_strength	origin	best_epoch	selected_query_train_loss	selected_query_train_match	selected_validation_loss	selected_validation_match	epoch0_train_loss	epoch0_train_match	epoch0_validation_loss	epoch0_validation_match	surrogate_acc	fidelity	posterior_kl	accuracy_minus_blackbox	fidelity_minus_blackbox	posterior_kl_minus_blackbox	validation_loss_minus_blackbox	all_final_metrics_worse_than_blackbox	state_sha256
43	lambda_000	0.0	reused_lab04_matched_blackbox	48	0.6766721343994141	0.955	3.887760639190674	0.13	4.815611152648926	0.0175	4.796154499053955	0.01	0.1536	0.1555	3.0075808403015136	0.0	0.0	0.0	0.0	False	8c113ed1d375b56337903c2bd3c6ab70b9e6ea8773bc5566cd82c8bf6e4bc531
43	lambda_025	0.25	trained_lab08_intermediate	52	0.6365261447429656	0.975	3.6945366859436035	0.21	4.625503768920899	0.0175	4.6530327796936035	0.0	0.171	0.1812	2.7743673458099365	0.017400000000000027	0.0257	-0.23321349449157713	-0.1932239532470703	False	1793d1fdd7358bcf6163868e0f2bf120868511d8ec41c6a2373cb01bf1346c29
43	lambda_050	0.5	trained_lab08_intermediate	52	0.6276056146621705	0.975	3.5828988552093506	0.2	4.629072856903076	0.01	4.646707057952881	0.02	0.1919	0.1988	2.5878728507995605	0.0383	0.043300000000000005	-0.4197079895019531	-0.30486178398132324	False	aeeb3e662eed805a52ca4528d1bd4fb48b92ee49ec5c79cb8c0b9263b2ee2cba
43	lambda_075	0.75	trained_lab08_intermediate	49	0.6414754819869996	0.97	3.645683526992798	0.18	4.738945693969726	0.0025	4.767648220062256	0.01	0.1549	0.1647	2.844637464904785	0.0013000000000000234	0.009200000000000014	-0.16294337539672865	-0.24207711219787598	False	f16416f325ee542912e3bcbcc369c616d5fb2831a1f1f321342f7d3cc5d35870
43	lambda_100	1.0	reused_lab04_hybrid	49	0.6620612502098083	0.97	3.9138200283050537	0.16	13.314329299926758	0.0125	13.388312339782715	0.03	0.114	0.1226	3.2003326099395752	-0.03959999999999998	-0.0329	0.19275176963806162	0.026059389114379883	True	84f9c67ed97b865374536dd6d0d0e7ffd1f7a507f6557d273dbab8a379c4f1be
44	lambda_000	0.0	reused_lab04_matched_blackbox	60	0.6644590997695923	0.9675	3.3447725772857666	0.24	4.721403732299804	0.0125	4.708346843719482	0.01	0.15	0.1551	2.955327938461304	0.0	0.0	0.0	0.0	False	506294e94d938559edba3feeffdd4241de1222eca661a9dc3959ced478e0e1a3
44	lambda_025	0.25	trained_lab08_intermediate	41	0.6686552047729493	0.965	3.126152992248535	0.22	4.610386047363281	0.0125	4.597647190093994	0.01	0.179	0.1884	2.725698879623413	0.028999999999999998	0.033300000000000024	-0.22962905883789064	-0.21861958503723145	False	ae91bd11b3c806294f78e1f6de52b1d639ee16937205b7424861c77ede84a9d1
44	lambda_050	0.5	trained_lab08_intermediate	99	0.6179495239257813	0.97	2.9009718894958496	0.29	4.620219745635986	0.015	4.639626502990723	0.0	0.21	0.2253	2.4471687602996828	0.06	0.07020000000000001	-0.508159178161621	-0.443800687789917	False	b1bc8f2ab08c5c0194217b1c3cf7306cea65996653adf5871538f571e11d512f
44	lambda_075	0.75	trained_lab08_intermediate	99	0.6234779071807861	0.975	3.279085397720337	0.2	4.719408302307129	0.02	4.77876615524292	0.0	0.1661	0.1789	2.7068082580566406	0.016100000000000003	0.023800000000000016	-0.2485196804046632	-0.06568717956542969	False	c96d082b7c7ee2b94f6dc36fee03771e235dd23a99204b3554351eaffdedcf76
44	lambda_100	1.0	reused_lab04_hybrid	45	0.6829276084899902	0.965	3.918729782104492	0.14	11.039015045166016	0.0075	11.45592212677002	0.01	0.1109	0.1234	3.159061231613159	-0.039099999999999996	-0.03169999999999999	0.2037332931518554	0.5739572048187256	True	72acdde2294d8e2f00f8b95929e8fa291819cc6c384bf8cdef7db6995631356f
45	lambda_000	0.0	reused_lab04_matched_blackbox	95	0.6184039306640625	0.9675	3.773594379425049	0.16	4.794968318939209	0.005	4.7569661140441895	0.0	0.1518	0.1617	2.9247035690307617	0.0	0.0	0.0	0.0	False	a4d11af0b8bab5e9528e6440965396d0286e78b72f454d12bf1a520ec4d027ef
