seed	case	label	exposed_rank	exposed_unit	exposed_state	best_epoch	protected_unit_count	protected_param_count	protected_param_ratio	protection_mask_sha256	surrogate_acc	fidelity	posterior_kl	accuracy_minus_base	fidelity_minus_base	posterior_kl_minus_base	all_metrics_attack_rebound_vs_base	matched_blackbox_accuracy	matched_blackbox_fidelity	matched_blackbox_posterior_kl	all_metrics_at_or_beyond_blackbox
43	five_conv1_bn_gamma_head	Protect all five conv1				49	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.114	0.1226	3.2003326099395752	0.0	0.0	0.0	False	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	49	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1182	0.1275	3.1159673793792724	0.004199999999999995	0.004900000000000002	-0.08436523056030287	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	53	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1347	0.1456	3.0165448959350587	0.020699999999999982	0.023000000000000007	-0.18378771400451654	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	53	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1202	0.127	3.090343549346924	0.006199999999999997	0.004400000000000001	-0.10998906059265146	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	50	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1195	0.1236	3.118120210266113	0.005499999999999991	0.0010000000000000009	-0.08221239967346206	True	0.1536	0.1555	3.0075808403015136	True
43	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	96	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1551	0.1688	2.8087427894592287	0.041099999999999984	0.046200000000000005	-0.3915898204803465	True	0.1536	0.1555	3.0075808403015136	False
44	five_conv1_bn_gamma_head	Protect all five conv1				45	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1109	0.1234	3.159061231613159	0.0	0.0	0.0	False	0.15	0.1551	2.955327938461304	True
44	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	45	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1215	0.1305	3.0974932327270506	0.010599999999999998	0.007100000000000009	-0.061567998886108644	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	97	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.1551	0.1677	2.8516644329071044	0.04419999999999999	0.04429999999999999	-0.30739679870605485	True	0.15	0.1551	2.955327938461304	False
44	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	45	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.1241	0.1352	3.044318956756592	0.013200000000000003	0.011799999999999991	-0.1147422748565674	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	99	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1322	0.1403	2.98859044380188	0.021300000000000013	0.016900000000000012	-0.17047078781127922	True	0.15	0.1551	2.955327938461304	True
44	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	100	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1583	0.1721	2.772017297363281	0.0474	0.04870000000000001	-0.38704393424987815	True	0.15	0.1551	2.955327938461304	False
45	five_conv1_bn_gamma_head	Protect all five conv1				25	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1077	0.1129	3.23072205657959	0.0	0.0	0.0	False	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_01	Expose rank-1	1	18	layer1.1.conv1.weight	89	26	609060	0.054245653560996566	85f41ddf8020493bcd84ac64929e91041f221c2d90db1afef22b3967b4cc12e8	0.1126	0.1155	3.1526085639953614	0.004900000000000002	0.002600000000000005	-0.07811349258422862	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_02	Expose rank-2	2	30	layer2.0.conv1.weight	98	26	572196	0.05096237806618066	ba11200f0f2c226157efd07441266507258de2e734835bd23b837de632622b91	0.14	0.1504	2.946705403137207	0.03230000000000001	0.037500000000000006	-0.28401665344238314	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_04	Expose rank-4	4	6	layer1.0.conv1.weight	55	26	609060	0.054245653560996566	6fa97b56d7d520627459a919a835e677beeb549f597482c25e5a270ad2e132ee	0.115	0.1212	3.1651950801849367	0.007300000000000001	0.008300000000000002	-0.06552697639465332	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_07	Expose rank-7	7	48	layer2.1.conv1.weight	88	26	498468	0.04439582707654884	48e2ee512e63ec0d2047a4af1c9ecf632366d8c73a56c2c689da54e765cca9af	0.1225	0.1291	3.037802103424072	0.014799999999999994	0.016199999999999992	-0.1929199531555179	True	0.1518	0.1617	2.9247035690307617	True
45	expose_rank_09	Expose rank-9	9	60	layer3.0.conv1.weight	93	26	351012	0.031262725097285206	4210f58d92e46b22e7ee2471fdf9026be06a9e1013b7220f88d6d159c3da191a	0.1495	0.1577	2.876069858932495	0.04179999999999999	0.044800000000000006	-0.3546521976470949	True	0.1518	0.1617	2.9247035690307617	False
46	five_conv1_bn_gamma_head	Protect all five conv1				100	27	645924	0.05752892905581248	6364e56dfa7bbc8f9acc4f33fa403c5639880b06ce4d602cfdaeaf5ac1cd3272	0.1093	0.1196	3.172499655151367	0.0	0.0	0.0	False	0.1524	0.157	2.9586137844085694	True
