seed	subset	public_group_count	public_groups	public_state_count	public_param_count	soft_ce	posterior_kl	fidelity	prediction_entropy	feature_rms	feature_l2	logit_rms	kl_minus_victim
43	0	0		0	0	0.5265382003784179	9.229173883795738e-08	1.0	0.5265257644653321	0.675200933996341	15.171854248046875	3.0788053182200397	0.0
43	1	1	stem	1	64	1.99530517578125	1.46876708984375	0.51	1.4480303955078124	0.6282882554186197	14.146103515625	2.844523795822422	1.468766997552011
43	2	1	block_bn1	8	1920	1.184556121826172	0.6580180358886719	0.76	1.3675103759765626	0.584017328971967	13.0729296875	2.551465418391948	0.6580179435969331
43	3	2	stem,block_bn1	9	1984	2.9597158813476563	2.433177795410156	0.25	1.8744509887695313	0.558856062754045	12.549970703125	2.5200888966215063	2.4331777031184174
43	4	1	block_bn2	8	1920	2.1965972900390627	1.6700592041015625	0.61	0.4852593231201172	1.4808411367908811	33.21740966796875	6.595333103793925	1.6700591118098236
43	5	2	stem,block_bn2	9	1984	5.908599243164063	5.382061157226563	0.29	0.6517595672607421	1.5055469439183213	33.8003076171875	6.9731668738099195	5.382061064934824
43	6	2	block_bn1,block_bn2	16	3840	10.714039306640625	10.187501220703124	0.11	0.5485086822509766	1.6856252244971115	37.20979248046875	6.160888734590165	10.187501128411386
43	7	3	stem,block_bn1,block_bn2	17	3904	13.056529541015625	12.529991455078125	0.04	0.6287299346923828	1.6486099398847256	36.5875927734375	5.925038238273236	12.529991362786387
43	8	1	downsample	3	896	0.8260610961914062	0.29952301025390626	0.86	1.4076898193359375	0.4745922948958524	10.6732177734375	2.152492015083912	0.2995229179621674
43	9	2	stem,downsample	4	960	2.114673767089844	1.5881358337402345	0.49	2.2348313903808594	0.4462718815073622	10.0587646484375	2.0842838248424806	1.5881357414484956
43	10	2	block_bn1,downsample	11	2816	1.7046046447753906	1.1780665588378907	0.57	2.2235321044921874	0.4458893262456118	9.989556884765625	2.0238764244019447	1.1780664665461518
43	11	3	stem,block_bn1,downsample	12	2880	3.3263800048828127	2.7998419189453125	0.22	2.651513977050781	0.42572879013120785	9.587034912109376	2.0269033300517814	2.799841826653574
43	12	2	block_bn2,downsample	11	2816	4.898126220703125	4.371588439941406	0.27	0.9466629028320312	1.3684756208651814	30.8524267578125	5.981484713263088	4.371588347649667
43	13	3	stem,block_bn2,downsample	12	2880	8.118363037109376	7.591824951171875	0.16	1.0589942932128906	1.3833348898515025	31.1823193359375	6.318510504857929	7.591824858880137
43	14	3	block_bn1,block_bn2,downsample	19	4736	11.990321044921876	11.463782958984375	0.08	0.7403249359130859	1.7093944597269854	38.4256884765625	6.9734415821744715	11.463782866692636
43	15	4	stem,block_bn1,block_bn2,downsample	20	4800	13.267901611328124	12.74136474609375	0.04	0.8416585540771484	1.6519676729230546	37.17329833984375	6.884586498113013	12.74136465380201
44	0	0		0	0	0.4800360107421875	9.422539733350277e-08	1.0	0.48002632141113283	0.655501456462019	14.74035400390625	3.0043057642323956	0.0
44	1	1	stem	1	64	2.156778564453125	1.676742706298828	0.56	1.3223095703125	0.6150474976596859	13.8547705078125	2.786721163616841	1.6767426120734308
44	2	1	block_bn1	8	1920	1.2833544921875	0.8033184814453125	0.7	1.3531878662109376	0.5703995144450086	12.7653076171875	2.530468011924869	0.8033183872199151
44	3	2	stem,block_bn1	9	1984	3.2758465576171876	2.795810546875	0.31	1.7730043029785156	0.539944241082154	12.128443603515626	2.381139761227803	2.7958104526496026
44	4	1	block_bn2	8	1920	2.3796751403808596	1.8996392822265624	0.56	0.5679458618164063	1.461803720472588	32.7769775390625	6.4942748825407755	1.8996391880011652
44	5	2	stem,block_bn2	9	1984	6.318023071289063	5.837986450195313	0.3	0.6460877227783203	1.4640046555075077	32.858056640625	6.765334433714272	5.837986355969916
44	6	2	block_bn1,block_bn2	16	3840	12.49176513671875	12.011729736328125	0.11	0.597810173034668	1.732762834612869	37.985966796875	6.328437307108288	12.011729642102727
44	7	3	stem,block_bn1,block_bn2	17	3904	14.76671142578125	14.28667724609375	0.06	0.5241955184936523	1.66800278068329	36.9708984375	5.947783200487389	14.286677151868354
44	8	1	downsample	3	896	0.778907470703125	0.2988715553283691	0.89	1.4165733337402344	0.4609899251834095	10.37856201171875	2.1025512776148885	0.2988714611029718
44	9	2	stem,downsample	4	960	2.186731262207031	1.7066952514648437	0.5	2.290837860107422	0.4375310832289563	9.865765380859376	2.0322338002183704	1.7066951572394464
