case	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
conv1_bn2	1	0.01	400	1851.5857696533203	4.628964424133301	4	0.01	100	4.679957866668701	4.197695922851563	1	0.01	True
conv1_bn2	2	0.01	400	1786.8898315429688	4.467224578857422	20	0.05	100	4.641521453857422	4.159259643554687	2	0.02	True
conv1_bn2	3	0.01	400	1729.1499786376953	4.322874946594238	46	0.115	100	4.595005989074707	4.112744140625	3	0.03	True
conv1_bn2	4	0.01	400	1680.9048156738281	4.20226203918457	88	0.22	100	4.553550720214844	4.0712893676757815	4	0.04	True
conv1_bn2	5	0.01	400	1626.0425262451172	4.065106315612793	111	0.2775	100	4.531894683837891	4.049633178710938	4	0.04	True
conv1_bn2	6	0.01	400	1578.4147720336914	3.9460369300842286	134	0.335	100	4.507338523864746	4.025076904296875	3	0.03	True
conv1_bn2	7	0.01	400	1532.2199172973633	3.8305497932434083	152	0.38	100	4.487566947937012	4.005305786132812	5	0.05	True
conv1_bn2	8	0.01	400	1485.9848518371582	3.7149621295928954	154	0.385	100	4.476247310638428	3.993985595703125	5	0.05	True
conv1_bn2	9	0.01	400	1439.5774841308594	3.5989437103271484	159	0.3975	100	4.463969707489014	3.9817080688476563	5	0.05	True
conv1_bn2	10	0.01	400	1390.0673599243164	3.475168399810791	183	0.4575	100	4.441644668579102	3.9593829345703124	6	0.06	True
conv1_bn2	11	0.01	400	1351.9611587524414	3.3799028968811036	203	0.5075	100	4.417963981628418	3.935701904296875	6	0.06	True
conv1_bn2	12	0.01	400	1307.132926940918	3.267832317352295	218	0.545	100	4.408365249633789	3.9261041259765626	5	0.05	True
conv1_bn2	13	0.01	400	1266.0427856445312	3.1651069641113283	233	0.5825	100	4.394021034240723	3.911759033203125	6	0.06	True
conv1_bn2	14	0.01	400	1235.7530517578125	3.0893826293945312	231	0.5775	100	4.380008220672607	3.897746887207031	6	0.06	True
conv1_bn2	15	0.01	400	1197.3925704956055	2.9934814262390135	249	0.6225	100	4.345791816711426	3.8635302734375	7	0.07	True
