candidate_index	unit_index	operator_type	module	state_name	bias_state	weight_shape	parameter_count	output_shape	feature_count	image_count	raw_cross_l1	raw_natural_l1	product_score	activation_path	activation_sha256	activation_bytes	query_source_indices_sha256
1	0	conv_weight	conv1	conv1.weight		64×3×7×7	9408	64×16×16	16384	500	0.0	21489.855811523437	0.0	results/playground/01_raw/activations/unit_000.pt	9ae42dc5753e1c4402f4aced6ddfe62a47c93d71cea51bd707a4c376f50bfb5b	163842608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
2	1	bn_gamma	bn1	bn1.weight		64	64	64×16×16	16384	500	4182.088280029297	4268.201001220703	17849993.384014413	results/playground/01_raw/activations/unit_001.pt	82d7da1a3f0822ce83f58dcae4b8454da09ef09c9652ab0ce1c35f0621981912	163842608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight		64×64×3×3	36864	64×8×8	4096	500	3346.094801513672	4494.687395507813	15039650.128537716	results/playground/01_raw/activations/unit_006.pt	ff2574eaad0454604b3f3403be12d309b0ea037613543619e9813ff4eda3491c	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight		64	64	64×8×8	4096	500	729.3482236328125	1616.3492902832031	1178881.4836382114	results/playground/01_raw/activations/unit_007.pt	827ec9da60d0d242e1bb0bcb199ba87625400ad825e25a3a60e3d5caa9925c84	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight		64×64×3×3	36864	64×8×8	4096	500	1190.6853048095704	1474.4888037109374	1755652.1506848563	results/playground/01_raw/activations/unit_012.pt	b4d8483fcb8203ec6ae0506372c84ec27abec1aa0988f1ece43012797d354568	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight		64	64	64×8×8	4096	500	543.4996352539063	1467.1980201416015	797421.5887922138	results/playground/01_raw/activations/unit_013.pt	08ae55cca88dafacf7b209bf649abfac6b9959d62d192ed01a952108e82a435f	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight		64×64×3×3	36864	64×8×8	4096	500	3234.180263671875	5098.517309570312	16489524.05660173	results/playground/01_raw/activations/unit_018.pt	613ccd3ec7cfd78d2ea57bd89b9d308a5420305d0b24f4f36c005708fbc21172	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight		64	64	64×8×8	4096	500	510.11393511962893	1473.9751453857423	751895.2616812482	results/playground/01_raw/activations/unit_019.pt	d2ab34ff7e99c778936af52e12ce1b91b254e1ab46e3634657d08c88fb42506f	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight		64×64×3×3	36864	64×8×8	4096	500	1055.389337890625	1246.0903572998047	1315110.4771425333	results/playground/01_raw/activations/unit_024.pt	87c2d043b0278f5efa915bf2b64e7f93a3e549a5f14213b87c1e0bf1495bf321	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight		64	64	64×8×8	4096	500	770.127542602539	1753.7383515625	1350602.2070566558	results/playground/01_raw/activations/unit_025.pt	e8a9cbae8dafd5c6410e95804c0e7af6ec3f4f56564761b9668d358c090fd4d7	40962608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight		128×64×3×3	73728	128×4×4	2048	500	1853.449960205078	2401.8024338378905	4451620.625417298	results/playground/01_raw/activations/unit_030.pt	7f2883d3b238c212e72a09c37fa73c61d23cb039a4ade3634a8c826ce7b1b2aa	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight		128	128	128×4×4	2048	500	351.59277868652345	759.0680145263672	266882.8324393878	results/playground/01_raw/activations/unit_031.pt	4217780d91d1895b009e94faffaa823fb106237dd9d62e217b7f0d5dcb8f1d96	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight		128×128×3×3	147456	128×4×4	2048	500	708.1974619140625	883.5646138916015	625738.2169951109	results/playground/01_raw/activations/unit_036.pt	ee35cf7a6aba1ad1d2653dfa4e55239d450bb0738013c97bdf6b81fedd0fbd7f	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight		128	128	128×4×4	2048	500	257.09861630249026	847.6280180664063	217923.99058409527	results/playground/01_raw/activations/unit_037.pt	cd6ede7de250f51f02982219b4ac409d9a056a5d73a36ebaa33437aca9789337	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
15	42	conv_weight	layer2.0.downsample.0	layer2.0.downsample.0.weight		128×64×1×1	8192	128×4×4	2048	500	836.696894897461	1070.7772935791015	895916.0366643412	results/playground/01_raw/activations/unit_042.pt	918e638cf0fabebe64039b45e60d84a9836932224a16d9d0d28b49c46001764e	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight		128	128	128×4×4	2048	500	385.8411667480469	566.1117699584961	218429.22583058805	results/playground/01_raw/activations/unit_043.pt	2e663b2b7b9c7d94af5bda8d8a6c42bc70dc37e565fc1f03efe57922ba10cd7b	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight		128×128×3×3	147456	128×4×4	2048	500	1008.3013720703125	1409.9578081054688	1421662.3924739945	results/playground/01_raw/activations/unit_048.pt	c494add2e307f9d62f19e99e57898ebbfe393520892c6e5e7ebc77551615239f	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight		128	128	128×4×4	2048	500	181.40818997192383	744.285476928711	135019.48119202754	results/playground/01_raw/activations/unit_049.pt	88c04d7b3838f160021eafd9bc0df31996508f5afb3a8fbde82ad2188d05566b	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight		128×128×3×3	147456	128×4×4	2048	500	573.9413217163086	535.3300103149414	307248.0136745626	results/playground/01_raw/activations/unit_054.pt	9de00dbe04d73fabe103b2c18ab9b54cf20020bdb8a95479a661fc3012732609	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight		128	128	128×4×4	2048	500	287.00186447143557	711.5808826904297	204225.0400543832	results/playground/01_raw/activations/unit_055.pt	8f3733076fc16ec13b34b5dc0cae80c0277c50ca8a7934e1b17e182e1ed79bc3	20482608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight		256×128×3×3	294912	256×2×2	1024	500	699.6062824707031	788.1605400390625	551402.0654068303	results/playground/01_raw/activations/unit_060.pt	af3c57ebdc7b6ebe48a41482562c8185eac1b2e357034a58687f8921d129523c	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight		256	256	256×2×2	1024	500	77.45914666748047	431.7735327148437	33444.80939769526	results/playground/01_raw/activations/unit_061.pt	7c2a8341c9b5794f9f6f2842782511c7c0a36c647cc09cdac18e70e15c8e8c24	10242608	7871d4963a469a7588ae4824b4c61f7acce43a56ba783dfdc429251359b88440
