rank_product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	output_shape	rank_capacity	image_count	cross_rank_mean	natural_rank_mean	rank_product	rank_gap_vv_vp_mean	rank_gap_pv_pp_mean	rank_interaction_mean	rank_gap_vv_pp_mean
1	10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight	64	64×8×8	64	500	13.86519598407039	17.733303036081185	245.8757220401761	-1.0766087474884642	-1.5230588327505625	0.4464500852620983	-4.672310221514383
2	8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight	64	64×8×8	64	500	9.866526270460122	14.542250264051203	143.48149426186686	0.29943996242252524	-0.5597128849559141	0.8591528473784393	-2.046055021276299
3	12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight	128	128×4×4	16	500	9.714839223276583	12.07412279576655	117.29816172297079	-0.047274061169966686	-0.2029041606501334	0.1556300994801667	-1.424652783365243
4	2	1	bn_gamma	bn1	bn1.weight	64	64×16×16	64	500	9.699304867218158	11.06851847764781	107.35693514314353	1.8494948805442526	0.0007958659704971893	1.8486990145737554	1.1046576499868959
5	6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight	64	64×8×8	64	500	9.030103085288449	10.883681214018736	98.28076331000652	-0.4152309622631041	-0.19279643596641627	-0.2224345262966878	-0.9187874688197581
6	14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight	128	128×4×4	16	500	7.087482041039329	11.065707093884901	78.42800029931074	0.09483951527642098	0.4078941867835013	-0.31305467150708033	1.1089941436634039
7	18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight	128	128×4×4	16	500	7.308789122960027	10.557792839646506	77.16468146887364	0.168230223812186	0.2561869837579902	-0.08795675994580421	0.572786671510018
8	20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight	128	128×4×4	16	500	7.424046046398505	8.861448288256796	65.78780012979766	-0.11875856552632413	-0.7849354309285852	0.6661768654022611	0.334199586300878
9	16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight	128	128×4×4	16	500	7.7554878158233995	7.817327648792587	60.6271893325103	-0.19840558859138824	-0.005801405252247704	-0.19260418333914053	-1.1753066330723474
10	4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight	64	64×8×8	64	500	6.348953678389993	5.9863880510166405	38.007300436772	0.7153277095403014	0.971069337357986	-0.2557416278176845	1.361346164612251
11	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	256×2×2	4	500	3.2188022771870686	3.2713302611483894	10.529765294015403	-0.04039857298730354	0.07785150258346274	-0.11825007557076628	0.24689812968216085
12	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	256×2×2	4	500	3.0456006581433526	3.1504324044104317	9.594959004308555	-0.11294605327003815	-0.09661781166739569	-0.016328241602642457	0.29446330123299624
13	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	256×2×2	4	500	3.213536536515633	2.9636522327875965	9.523804731589076	-0.3970718121602981	-0.15032100241024526	-0.2467508097500528	0.21070985793727903
14	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	256×2×2	4	500	3.303894728946016	2.74450983864022	9.067571589423903	0.25442874557494566	-0.41553959709681454	0.6699683426717602	0.2911052383852768
15	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	256×2×2	4	500	2.7634367537515643	3.0401414122420793	8.401238515191947	-0.022868185552646914	-0.06762802007937285	0.04475983452672594	0.23476117334070556
16	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
17	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
18	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
19	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
20	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
