rank_product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	output_shape	rank_capacity	image_count	cross_rank_mean	natural_rank_mean	rank_product	rank_gap_vv_vp_mean	rank_gap_pv_pp_mean	rank_interaction_mean	rank_gap_vv_pp_mean
1	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	64×8×8	64	500	15.273209521259608	12.628225198078399	192.8735293319015	-1.1432158833266168	-5.936693800647111	4.793477917320494	-4.488594171490323
2	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	128×4×4	16	500	10.963525791885276	8.848300024712168	97.00856553527099	2.3040916880002893	-0.39857566425332003	2.7026673522536093	1.304227100833252
3	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	128×4×4	16	500	10.871150829805813	8.906059240042698	96.81911329768991	-0.6574111887012961	-3.469947817469233	2.812536628767937	-2.540880823389191
4	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	128×4×4	16	500	10.000819241819329	6.9321775829335435	69.32745495911038	1.9032861221117745	0.3633539409132336	1.539932181198541	2.3506706744049053
5	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	64×8×8	64	500	8.922534258263893	7.209873987087333	64.33034764755241	-0.7361956656250257	-1.0435556750485127	0.30736000942348696	-0.21124076143749004
6	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	64×8×8	64	500	8.872956284217207	4.517202207961178	40.08093771820898	-0.9081235096676217	-1.2135624060497716	0.30543889638214994	-0.42003889163015806
7	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	128×4×4	16	500	5.858047102415928	5.826577234804831	34.132363887351055	-1.067426517350838	-2.926600072626366	1.859173555275528	-1.5109498819908396
8	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	64×8×8	64	500	4.3122879945046915	4.818396885481727	20.77831504202165	-0.055097657464598715	-0.21342238889209808	0.15832473142749937	0.7408362279199832
9	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	256×2×2	4	500	2.956923923100128	2.9362912802752885	8.682389931836305	0.4533718009305563	-0.07113642574172774	0.524508226672284	0.0889689664198916
10	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	256×2×2	4	500	3.0261593078529208	2.398448641298841	7.258087680273678	0.5561499537791419	-0.1866250677149135	0.7427750214940554	0.2671906233945931
11	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	256×2×2	4	500	2.6007043802292653	2.7426514123182195	7.132825541457974	0.12342305316329982	-0.7328223396811242	0.856245392844424	-0.1045118341782274
12	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	256×2×2	4	500	2.4675310536428317	2.4374365373206732	6.014450347122416	-0.08848318332127425	0.6793542131045358	-0.7678373964258101	0.44923910183107374
13	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
14	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
15	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
16	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512×1×1	1	500	1.0	1.0	1.0	0.0	0.0	0.0	0.0
