product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
1	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512	feature_count	512	749.8389643554688	343.16853955078125	1.464529227256775	0.6702510538101196	0.9816022579045736
2	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512	feature_count	512	137.00189346313476	255.62270385742187	0.2675818231701851	0.4992630934715271	0.13359372879269774
3	10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight	64	4096	feature_count	4096	770.127542602539	1753.7383515625	0.188019419580698	0.42815877723693846	0.08050216478447055
4	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	1024	feature_count	1024	307.29592028808594	272.28120272827147	0.3000936721563339	0.2658996120393276	0.07979479100182636
5	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512	feature_count	512	67.20599855804443	307.11105462646486	0.13126171593368052	0.5998262785673142	0.07873422658685951
6	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512	feature_count	512	96.24334988403321	193.29733685302733	0.18797529274225236	0.377533861041069	0.07096703804930778
7	4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight	64	4096	feature_count	4096	729.3482236328125	1616.3492902832031	0.17806353116035462	0.39461652594804764	0.07026681206454106
8	2	1	bn_gamma	bn1	bn1.weight	64	16384	feature_count	16384	4182.088280029297	4268.201001220703	0.25525441162288187	0.26051031501591204	0.06649640718107824
9	12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight	128	2048	feature_count	2048	351.59277868652345	759.0680145263672	0.17167616146802903	0.3706386789679527	0.06362982569679923
10	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	1024	feature_count	1024	267.96183557128904	230.60847106933593	0.26168148005008696	0.22520358502864837	0.05893160744288231
11	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	1024	feature_count	1024	126.26492579650879	452.1265453491211	0.12330559159815312	0.4415298294425011	0.05444309682763924
12	16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight	128	2048	feature_count	2048	385.8411667480469	566.1117699584961	0.18839900720119476	0.2764217626750469	0.05207758565678312
13	14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight	128	2048	feature_count	2048	257.09861630249026	847.6280180664063	0.12553643374145032	0.41388086819648745	0.05195712818720228
14	20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight	128	2048	feature_count	2048	287.00186447143557	711.5808826904297	0.14013762913644315	0.34745160287618637	0.04869104386672573
15	6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight	64	4096	feature_count	4096	543.4996352539063	1467.1980201416015	0.1326903406381607	0.3582026416361332	0.04753003053618752
16	8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight	64	4096	feature_count	4096	510.11393511962893	1473.9751453857423	0.12453953494131566	0.359857213228941	0.04481644998081018
17	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512	feature_count	512	50.19943980407715	188.70616372680664	0.09804578086733819	0.3685667260289192	0.036136412455223685
18	18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight	128	2048	feature_count	2048	181.40818997192383	744.285476928711	0.08857821775972843	0.36342064303159716	0.03219115285683335
19	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	1024	feature_count	1024	77.45914666748047	431.7735327148437	0.0756436979174614	0.4216538405418396	0.03189545573968435
20	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	1024	feature_count	1024	141.7470146484375	170.0681450805664	0.13842481899261475	0.16608217293024063	0.0229898947257687
