product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
1	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	2048	feature_count	2048	1853.449960205078	2401.8024338378905	0.9050048633813857	1.1727550946474075	1.0613490642112011
2	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	4096	feature_count	4096	3234.180263671875	5098.517309570312	0.7895947909355163	1.2447552025318145	0.9828522239090043
3	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512	feature_count	512	749.8389643554688	343.16853955078125	1.464529227256775	0.6702510538101196	0.9816022579045736
4	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	4096	feature_count	4096	3346.094801513672	4494.687395507813	0.8169176761507988	1.0973357899188996	0.8964330034576485
5	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	1024	feature_count	1024	699.6062824707031	788.1605400390625	0.683209260225296	0.769688027381897	0.5258579877918532
6	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	2048	feature_count	2048	1008.3013720703125	1409.9578081054688	0.49233465433120727	0.6884559609889984	0.33895072757577765
7	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512	feature_count	512	262.45557778930663	271.7561067199707	0.5126085503697395	0.5307736459374428	0.27207910921845396
8	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512	feature_count	512	246.204177734375	251.4321505126953	0.4808675346374512	0.491078418970108	0.23614366864381317
9	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	1024	feature_count	1024	488.9070841064453	482.90595135498046	0.4774483243227005	0.4715878431200981	0.2251588254686474
10	15	42	conv_weight	layer2.0.downsample.0	layer2.0.downsample.0.weight	8192	2048	feature_count	2048	836.696894897461	1070.7772935791015	0.4085434057116509	0.5228404753804207	0.2136030284558156
11	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	1024	feature_count	1024	334.8606267700195	477.5222607421875	0.3270123308300972	0.46633033275604246	0.15249576905132825
12	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	2048	feature_count	2048	708.1974619140625	883.5646138916015	0.34579954195022583	0.43142803412675856	0.14918761658551952
13	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512	feature_count	512	137.00189346313476	255.62270385742187	0.2675818231701851	0.4992630934715271	0.13359372879269774
14	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	4096	feature_count	4096	1190.6853048095704	1474.4888037109374	0.29069465449452403	0.3599826180934906	0.10464502279072144
15	35	102	conv_weight	layer4.0.downsample.0	layer4.0.downsample.0.weight	131072	512	feature_count	512	152.8632660675049	155.52514756774903	0.2985610665380955	0.3037600538432598	0.09069092564711297
16	10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight	64	4096	feature_count	4096	770.127542602539	1753.7383515625	0.188019419580698	0.42815877723693846	0.08050216478447055
17	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	1024	feature_count	1024	307.29592028808594	272.28120272827147	0.3000936721563339	0.2658996120393276	0.07979479100182636
18	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512	feature_count	512	67.20599855804443	307.11105462646486	0.13126171593368052	0.5998262785673142	0.07873422658685951
19	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	4096	feature_count	4096	1055.389337890625	1246.0903572998047	0.2576634125709534	0.30422127863764764	0.07838669283047517
20	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	2048	feature_count	2048	573.9413217163086	535.3300103149414	0.2802447859942913	0.2613916065990925	0.07325363485206667
21	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512	feature_count	512	96.24334988403321	193.29733685302733	0.18797529274225236	0.377533861041069	0.07096703804930778
22	4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight	64	4096	feature_count	4096	729.3482236328125	1616.3492902832031	0.17806353116035462	0.39461652594804764	0.07026681206454106
23	2	1	bn_gamma	bn1	bn1.weight	64	16384	feature_count	16384	4182.088280029297	4268.201001220703	0.25525441162288187	0.26051031501591204	0.06649640718107824
24	12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight	128	2048	feature_count	2048	351.59277868652345	759.0680145263672	0.17167616146802903	0.3706386789679527	0.06362982569679923
25	25	72	conv_weight	layer3.0.downsample.0	layer3.0.downsample.0.weight	32768	1024	feature_count	1024	235.43868560791014	281.4980625	0.22992059141397475	0.27490045166015625	0.0632052744256719
26	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	1024	feature_count	1024	267.96183557128904	230.60847106933593	0.26168148005008696	0.22520358502864837	0.05893160744288231
27	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	1024	feature_count	1024	126.26492579650879	452.1265453491211	0.12330559159815312	0.4415298294425011	0.05444309682763924
28	16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight	128	2048	feature_count	2048	385.8411667480469	566.1117699584961	0.18839900720119476	0.2764217626750469	0.05207758565678312
29	14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight	128	2048	feature_count	2048	257.09861630249026	847.6280180664063	0.12553643374145032	0.41388086819648745	0.05195712818720228
30	20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight	128	2048	feature_count	2048	287.00186447143557	711.5808826904297	0.14013762913644315	0.34745160287618637	0.04869104386672573
31	6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight	64	4096	feature_count	4096	543.4996352539063	1467.1980201416015	0.1326903406381607	0.3582026416361332	0.04753003053618752
32	8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight	64	4096	feature_count	4096	510.11393511962893	1473.9751453857423	0.12453953494131566	0.359857213228941	0.04481644998081018
33	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512	feature_count	512	50.19943980407715	188.70616372680664	0.09804578086733819	0.3685667260289192	0.036136412455223685
34	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512	feature_count	512	99.67806544494628	85.04791833496094	0.1946837215721607	0.16610921549797059	0.03233876026057695
35	18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight	128	2048	feature_count	2048	181.40818997192383	744.285476928711	0.08857821775972843	0.36342064303159716	0.03219115285683335
36	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	1024	feature_count	1024	77.45914666748047	431.7735327148437	0.0756436979174614	0.4216538405418396	0.03189545573968435
37	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	1024	feature_count	1024	141.7470146484375	170.0681450805664	0.13842481899261475	0.16608217293024063	0.0229898947257687
38	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	1024	feature_count	1024	138.0755456237793	142.49269697570801	0.13483940002322198	0.13915302439033986	0.0187633103202102
39	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512	feature_count	512	67.48876429748535	28.72629619598389	0.13181399276852607	0.05610604725778103	0.007395562107507731
40	1	0	conv_weight	conv1	conv1.weight	9408	16384	feature_count	16384	0.0	21489.855811523437	0.0	1.3116367072463035	0.0
