product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
1	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	2048	feature_count	2048	1853.449960205078	2401.8024338378905	0.9050048633813857	1.1727550946474075	1.0613490642112011
2	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	4096	feature_count	4096	3234.180263671875	5098.517309570312	0.7895947909355163	1.2447552025318145	0.9828522239090043
3	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	4096	feature_count	4096	3346.094801513672	4494.687395507813	0.8169176761507988	1.0973357899188996	0.8964330034576485
4	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	1024	feature_count	1024	699.6062824707031	788.1605400390625	0.683209260225296	0.769688027381897	0.5258579877918532
5	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	2048	feature_count	2048	1008.3013720703125	1409.9578081054688	0.49233465433120727	0.6884559609889984	0.33895072757577765
6	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512	feature_count	512	262.45557778930663	271.7561067199707	0.5126085503697395	0.5307736459374428	0.27207910921845396
7	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512	feature_count	512	246.204177734375	251.4321505126953	0.4808675346374512	0.491078418970108	0.23614366864381317
8	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	1024	feature_count	1024	488.9070841064453	482.90595135498046	0.4774483243227005	0.4715878431200981	0.2251588254686474
9	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	1024	feature_count	1024	334.8606267700195	477.5222607421875	0.3270123308300972	0.46633033275604246	0.15249576905132825
10	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	2048	feature_count	2048	708.1974619140625	883.5646138916015	0.34579954195022583	0.43142803412675856	0.14918761658551952
11	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	4096	feature_count	4096	1190.6853048095704	1474.4888037109374	0.29069465449452403	0.3599826180934906	0.10464502279072144
12	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	4096	feature_count	4096	1055.389337890625	1246.0903572998047	0.2576634125709534	0.30422127863764764	0.07838669283047517
13	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	2048	feature_count	2048	573.9413217163086	535.3300103149414	0.2802447859942913	0.2613916065990925	0.07325363485206667
14	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512	feature_count	512	99.67806544494628	85.04791833496094	0.1946837215721607	0.16610921549797059	0.03233876026057695
15	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	1024	feature_count	1024	138.0755456237793	142.49269697570801	0.13483940002322198	0.13915302439033986	0.0187633103202102
16	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512	feature_count	512	67.48876429748535	28.72629619598389	0.13181399276852607	0.05610604725778103	0.007395562107507731
