product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
1	2	1	bn_gamma	bn1	bn1.weight	64	16384	parameter_count	64	4182.088280029297	4268.201001220703	65.34512937545776	66.69064064407348	4357.908541019144
2	10	25	bn_gamma	layer1.1.bn2	layer1.1.bn2.weight	64	4096	parameter_count	64	770.127542602539	1753.7383515625	12.033242853164673	27.40216174316406	329.73686695719135
3	4	7	bn_gamma	layer1.0.bn1	layer1.0.bn1.weight	64	4096	parameter_count	64	729.3482236328125	1616.3492902832031	11.396065994262695	25.25545766067505	287.8128622163602
4	6	13	bn_gamma	layer1.0.bn2	layer1.0.bn2.weight	64	4096	parameter_count	64	543.4996352539063	1467.1980201416015	8.492181800842285	22.924969064712524	194.68300507622408
5	8	19	bn_gamma	layer1.1.bn1	layer1.1.bn1.weight	64	4096	parameter_count	64	510.11393511962893	1473.9751453857423	7.970530236244202	23.030861646652223	183.5681791213985
6	12	31	bn_gamma	layer2.0.bn1	layer2.0.bn1.weight	128	2048	parameter_count	128	351.59277868652345	759.0680145263672	2.7468185834884644	5.9302188634872435	16.289235378380603
7	16	43	bn_gamma	layer2.0.downsample.1	layer2.0.downsample.1.weight	128	2048	parameter_count	128	385.8411667480469	566.1117699584961	3.014384115219116	4.422748202800751	13.331861928136478
8	14	37	bn_gamma	layer2.0.bn2	layer2.0.bn2.weight	128	2048	parameter_count	128	257.09861630249026	847.6280180664063	2.008582939863205	6.622093891143799	13.301024815923784
9	20	55	bn_gamma	layer2.1.bn2	layer2.1.bn2.weight	128	2048	parameter_count	128	287.00186447143557	711.5808826904297	2.2422020661830904	5.559225646018982	12.464907229881787
10	18	49	bn_gamma	layer2.1.bn1	layer2.1.bn1.weight	128	2048	parameter_count	128	181.40818997192383	744.285476928711	1.417251484155655	5.8147302885055545	8.240935131349337
11	28	79	bn_gamma	layer3.1.bn1	layer3.1.bn1.weight	256	1024	parameter_count	256	307.29592028808594	272.28120272827147	1.2003746886253357	1.0635984481573104	1.2767166560292218
12	40	115	bn_gamma	layer4.1.bn2	layer4.1.bn2.weight	512	512	parameter_count	512	749.8389643554688	343.16853955078125	1.464529227256775	0.6702510538101196	0.9816022579045736
13	30	85	bn_gamma	layer3.1.bn2	layer3.1.bn2.weight	256	1024	parameter_count	256	267.96183557128904	230.60847106933593	1.0467259202003478	0.9008143401145935	0.942905719086117
14	24	67	bn_gamma	layer3.0.bn2	layer3.0.bn2.weight	256	1024	parameter_count	256	126.26492579650879	452.1265453491211	0.49322236639261247	1.7661193177700043	0.8710895492422278
15	22	61	bn_gamma	layer3.0.bn1	layer3.0.bn1.weight	256	1024	parameter_count	256	77.45914666748047	431.7735327148437	0.3025747916698456	1.6866153621673583	0.5103272918349496
16	26	73	bn_gamma	layer3.0.downsample.1	layer3.0.downsample.1.weight	256	1024	parameter_count	256	141.7470146484375	170.0681450805664	0.553699275970459	0.6643286917209625	0.3678383156122992
17	36	103	bn_gamma	layer4.0.downsample.1	layer4.0.downsample.1.weight	512	512	parameter_count	512	137.00189346313476	255.62270385742187	0.2675818231701851	0.4992630934715271	0.13359372879269774
18	34	97	bn_gamma	layer4.0.bn2	layer4.0.bn2.weight	512	512	parameter_count	512	67.20599855804443	307.11105462646486	0.13126171593368052	0.5998262785673142	0.07873422658685951
19	38	109	bn_gamma	layer4.1.bn1	layer4.1.bn1.weight	512	512	parameter_count	512	96.24334988403321	193.29733685302733	0.18797529274225236	0.377533861041069	0.07096703804930778
20	32	91	bn_gamma	layer4.0.bn1	layer4.0.bn1.weight	512	512	parameter_count	512	50.19943980407715	188.70616372680664	0.09804578086733819	0.3685667260289192	0.036136412455223685
