product_rank	candidate_index	unit_index	operator_type	module	state_name	parameter_count	feature_count	normalizer_name	normalizer_value	raw_cross_l1	raw_natural_l1	cross_residual	natural_residual	product_score
1	7	18	conv_weight	layer1.1.conv1	layer1.1.conv1.weight	36864	4096	parameter_count	36864	3234.180263671875	5098.517309570312	0.0877327545483907	0.13830613361464605	0.012133978072950672
2	3	6	conv_weight	layer1.0.conv1	layer1.0.conv1.weight	36864	4096	parameter_count	36864	3346.094801513672	4494.687395507813	0.09076863068342209	0.12192619887987773	0.011067074116761094
3	5	12	conv_weight	layer1.0.conv2	layer1.0.conv2.weight	36864	4096	parameter_count	36864	1190.6853048095704	1474.4888037109374	0.03229940605494711	0.03999806867705451	0.0012919138616138447
4	9	24	conv_weight	layer1.1.conv2	layer1.1.conv2.weight	36864	4096	parameter_count	36864	1055.389337890625	1246.0903572998047	0.028629268063439264	0.03380236429307196	0.0009677369485243847
5	11	30	conv_weight	layer2.0.conv1	layer2.0.conv1.weight	73728	2048	parameter_count	73728	1853.449960205078	2401.8024338378905	0.02513902398281627	0.03257653040687243	0.0008189421791753095
6	17	48	conv_weight	layer2.1.conv1	layer2.1.conv1.weight	147456	2048	parameter_count	147456	1008.3013720703125	1409.9578081054688	0.006837981310155656	0.009561888347069423	6.538401380705588e-05
7	13	36	conv_weight	layer2.0.conv2	layer2.0.conv2.weight	147456	2048	parameter_count	147456	708.1974619140625	883.5646138916015	0.004802771415975359	0.005992056029538314	2.8778475421589413e-05
8	19	54	conv_weight	layer2.1.conv2	layer2.1.conv2.weight	147456	2048	parameter_count	147456	573.9413217163086	535.3300103149414	0.003892288694365157	0.0036304389805429512	1.4130716599549895e-05
9	21	60	conv_weight	layer3.0.conv1	layer3.0.conv1.weight	294912	1024	parameter_count	294912	699.6062824707031	788.1605400390625	0.002372254375782278	0.0026725278728538093	6.339915940777552e-06
10	23	66	conv_weight	layer3.0.conv2	layer3.0.conv2.weight	589824	1024	parameter_count	589824	488.9070841064453	482.90595135498046	0.0008289033408380217	0.0008187288943057258	6.786471157306358e-07
11	27	78	conv_weight	layer3.1.conv1	layer3.1.conv1.weight	589824	1024	parameter_count	589824	334.8606267700195	477.5222607421875	0.0005677297410244743	0.000809601272145907	4.596347205684807e-07
12	29	84	conv_weight	layer3.1.conv2	layer3.1.conv2.weight	589824	1024	parameter_count	589824	138.0755456237793	142.49269697570801	0.0002340961805958715	0.00024158511178878447	5.6554151958581095e-08
13	31	90	conv_weight	layer4.0.conv1	layer4.0.conv1.weight	1179648	512	parameter_count	1179648	262.45557778930663	271.7561067199707	0.0002224863499868661	0.00023037050604923732	5.125429303552207e-08
14	37	108	conv_weight	layer4.1.conv1	layer4.1.conv1.weight	2359296	512	parameter_count	2359296	246.204177734375	251.4321505126953	0.00010435493373208576	0.00010657083745011024	1.1121192679879137e-08
15	33	96	conv_weight	layer4.0.conv2	layer4.0.conv2.weight	2359296	512	parameter_count	2359296	99.67806544494628	85.04791833496094	4.224907152173627e-05	3.604800683549709e-05	1.5229948190089546e-09
16	39	114	conv_weight	layer4.1.conv2	layer4.1.conv2.weight	2359296	512	parameter_count	2359296	67.48876429748535	28.72629619598389	2.860546718066972e-05	1.2175791505594842e-05	3.482942043119704e-10
