case	k	epoch	learning_rate	query_count	query_loss_sum	query_loss	query_match_count	query_match	validation_count	validation_loss	validation_kl	validation_match_count	validation_match	is_best
top_0	0	1	0.01	400	1845.8144836425781	4.614536209106445	5	0.0125	100	4.64503288269043	4.16277099609375	1	0.01	True
top_0	0	2	0.01	400	1804.2707977294922	4.51067699432373	12	0.03	100	4.607040882110596	4.124779052734375	3	0.03	True
top_0	0	3	0.01	400	1762.756233215332	4.40689058303833	35	0.0875	100	4.575881481170654	4.093619689941407	2	0.02	True
top_0	0	4	0.01	400	1725.7015762329102	4.314253940582275	64	0.16	100	4.546586990356445	4.064325256347656	2	0.02	True
top_0	0	5	0.01	400	1688.1111679077148	4.220277919769287	90	0.225	100	4.522063255310059	4.0398016357421875	3	0.03	True
top_0	0	6	0.01	400	1646.9326705932617	4.117331676483154	109	0.2725	100	4.495878219604492	4.013616333007812	3	0.03	True
top_0	0	7	0.01	400	1609.73486328125	4.024337158203125	121	0.3025	100	4.47806453704834	3.995802917480469	3	0.03	True
top_0	0	8	0.01	400	1572.3199424743652	3.930799856185913	141	0.3525	100	4.450181007385254	3.9679193115234375	4	0.04	True
top_0	0	9	0.01	400	1534.9911193847656	3.837477798461914	141	0.3525	100	4.4260478019714355	3.9437860107421874	5	0.05	True
top_0	0	10	0.01	400	1494.8408088684082	3.7371020221710207	161	0.4025	100	4.399574279785156	3.9173129272460936	7	0.07	True
top_0	0	11	0.01	400	1459.4788436889648	3.6486971092224123	177	0.4425	100	4.367815017700195	3.885552978515625	6	0.06	True
top_0	0	12	0.01	400	1423.1554145812988	3.557888536453247	175	0.4375	100	4.350876808166504	3.8686151123046875	9	0.09	True
top_0	0	13	0.01	400	1383.9890441894531	3.459972610473633	187	0.4675	100	4.321029186248779	3.83876708984375	11	0.11	True
top_0	0	14	0.01	400	1352.8692932128906	3.3821732330322267	198	0.495	100	4.28806734085083	3.8058056640625	12	0.12	True
top_0	0	15	0.01	400	1319.305923461914	3.298264808654785	204	0.51	100	4.2620015144348145	3.7797393798828125	12	0.12	True
top_0	0	16	0.01	400	1281.5879135131836	3.203969783782959	217	0.5425	100	4.243438720703125	3.7611767578125	13	0.13	True
top_0	0	17	0.01	400	1250.5526390075684	3.126381597518921	227	0.5675	100	4.212182521820068	3.7299212646484374	14	0.14	True
top_0	0	18	0.01	400	1215.0038757324219	3.0375096893310545	227	0.5675	100	4.176512241363525	3.6942507934570314	15	0.15	True
top_0	0	19	0.01	400	1181.6696968078613	2.9541742420196533	243	0.6075	100	4.149716377258301	3.667454833984375	16	0.16	True
top_0	0	20	0.01	400	1148.6878471374512	2.871719617843628	252	0.63	100	4.128860950469971	3.6465994262695314	16	0.16	True
top_0	0	21	0.01	400	1120.7006378173828	2.801751594543457	257	0.6425	100	4.090631484985352	3.6083697509765624	17	0.17	True
top_0	0	22	0.01	400	1088.3554229736328	2.720888557434082	262	0.655	100	4.067232608795166	3.584970703125	18	0.18	True
top_0	0	23	0.01	400	1061.5478172302246	2.6538695430755617	274	0.685	100	4.040956974029541	3.5586953735351563	18	0.18	True
top_0	0	24	0.01	400	1030.7776489257812	2.576944122314453	276	0.69	100	4.010012626647949	3.527751159667969	19	0.19	True
top_0	0	25	0.01	400	1001.9364700317383	2.5048411750793456	277	0.6925	100	3.9837772846221924	3.5015155029296876	19	0.19	True
top_0	0	26	0.01	400	977.2989730834961	2.4432474327087403	289	0.7225	100	3.9540679454803467	3.4718063354492186	20	0.2	True
top_0	0	27	0.01	400	954.904354095459	2.3872608852386477	293	0.7325	100	3.930220365524292	3.447958984375	20	0.2	True
top_0	0	28	0.01	400	921.9268341064453	2.304817085266113	305	0.7625	100	3.902036666870117	3.419775085449219	21	0.21	True
top_0	0	29	0.01	400	896.1686668395996	2.240421667098999	296	0.74	100	3.8758769035339355	3.39361572265625	21	0.21	True
top_0	0	30	0.01	400	872.025520324707	2.1800638008117676	307	0.7675	100	3.8453190326690674	3.3630575561523437	21	0.21	True
top_0	0	31	0.01	400	850.8566932678223	2.1271417331695557	312	0.78	100	3.82128643989563	3.3390252685546873	20	0.2	True
top_0	0	32	0.01	400	830.0295524597168	2.075073881149292	319	0.7975	100	3.789393424987793	3.3071319580078127	21	0.21	True
top_0	0	33	0.01	400	807.5744857788086	2.0189362144470215	316	0.79	100	3.759908437728882	3.277646789550781	22	0.22	True
top_0	0	34	0.01	400	781.8535537719727	1.9546338844299316	318	0.795	100	3.733485698699951	3.2512240600585938	22	0.22	True
top_0	0	35	0.01	400	769.8092193603516	1.9245230484008788	322	0.805	100	3.7011351585388184	3.218873291015625	23	0.23	True
top_0	0	36	0.01	400	740.4648742675781	1.8511621856689453	328	0.82	100	3.6768128871917725	3.1945513916015624	23	0.23	True
top_0	0	37	0.01	400	718.6636810302734	1.7966592025756836	327	0.8175	100	3.659327507019043	3.1770660400390627	23	0.23	True
top_0	0	38	0.01	400	701.183895111084	1.75295973777771	332	0.83	100	3.6340651512145996	3.1518035888671876	22	0.22	True
top_0	0	39	0.01	400	682.8356323242188	1.7070890808105468	331	0.8275	100	3.611345052719116	3.129083557128906	23	0.23	True
top_0	0	40	0.01	400	664.8690223693848	1.662172555923462	342	0.855	100	3.5830748081207275	3.10081298828125	23	0.23	True
top_0	0	41	0.01	400	647.3817138671875	1.6184542846679688	345	0.8625	100	3.5626895427703857	3.0804278564453127	24	0.24	True
top_0	0	42	0.01	400	637.1553916931152	1.592888479232788	342	0.855	100	3.5432913303375244	3.0610296630859377	23	0.23	True
top_0	0	43	0.01	400	617.8774681091309	1.5446936702728271	347	0.8675	100	3.522141456604004	3.0398797607421875	25	0.25	True
top_0	0	44	0.01	400	603.4956645965576	1.508739161491394	349	0.8725	100	3.489323139190674	3.007061767578125	24	0.24	True
top_0	0	45	0.01	400	592.6757431030273	1.4816893577575683	350	0.875	100	3.474146842956543	2.9918853759765627	23	0.23	True
top_0	0	46	0.01	400	572.1516761779785	1.4303791904449463	354	0.885	100	3.4678335189819336	2.9855718994140625	24	0.24	True
top_0	0	47	0.01	400	558.0311431884766	1.3950778579711913	352	0.88	100	3.4430840015411377	2.9608221435546875	27	0.27	True
top_0	0	48	0.01	400	553.2108726501465	1.3830271816253663	358	0.895	100	3.4097118377685547	2.9274502563476563	25	0.25	True
top_0	0	49	0.01	400	536.2977523803711	1.3407443809509276	360	0.9	100	3.395894765853882	2.9136328125	27	0.27	True
top_0	0	50	0.01	400	522.7626399993896	1.3069065999984741	359	0.8975	100	3.3678996562957764	2.8856381225585936	27	0.27	True
top_0	0	51	0.01	400	515.9827613830566	1.2899569034576417	361	0.9025	100	3.364152669906616	2.881890869140625	25	0.25	True
top_0	0	52	0.01	400	505.7872772216797	1.2644681930541992	361	0.9025	100	3.3538432121276855	2.871581726074219	27	0.27	True
top_0	0	53	0.01	400	499.5550289154053	1.248887572288513	369	0.9225	100	3.3261935710906982	2.843931884765625	27	0.27	True
top_0	0	54	0.01	400	488.52063751220703	1.2213015937805176	362	0.905	100	3.312573194503784	2.830311584472656	28	0.28	True
top_0	0	55	0.01	400	474.40111923217773	1.1860027980804444	366	0.915	100	3.2966203689575195	2.8143585205078123	29	0.29	True
top_0	0	56	0.01	400	464.2402591705322	1.1606006479263307	362	0.905	100	3.291719913482666	2.8094580078125	28	0.28	True
top_0	0	57	0.01	400	457.8378086090088	1.144594521522522	369	0.9225	100	3.280670642852783	2.7984088134765623	30	0.3	True
top_0	0	58	0.01	400	451.3521671295166	1.1283804178237915	370	0.925	100	3.2653074264526367	2.7830462646484375	29	0.29	True
top_0	0	59	0.01	400	445.07108879089355	1.112677721977234	365	0.9125	100	3.223935842514038	2.7416741943359373	29	0.29	True
top_0	0	60	0.01	400	433.8773612976074	1.0846934032440185	368	0.92	100	3.215146064758301	2.732884521484375	29	0.29	True
top_0	0	61	0.001	400	429.80936431884766	1.074523410797119	374	0.935	100	3.2111358642578125	2.7288742065429688	28	0.28	True
top_0	0	62	0.001	400	429.8278274536133	1.0745695686340333	374	0.935	100	3.20831561088562	2.7260540771484374	30	0.3	True
top_0	0	63	0.001	400	426.17355728149414	1.0654338932037353	369	0.9225	100	3.2107455730438232	2.72848388671875	30	0.3	False
top_0	0	64	0.001	400	429.1470832824707	1.0728677082061768	375	0.9375	100	3.201889991760254	2.7196282958984375	29	0.29	True
top_0	0	65	0.001	400	424.0575523376465	1.0601438808441161	369	0.9225	100	3.2099010944366455	2.72763916015625	29	0.29	False
top_0	0	66	0.001	400	427.84403228759766	1.069610080718994	373	0.9325	100	3.217177391052246	2.734915771484375	29	0.29	False
top_0	0	67	0.001	400	429.4072504043579	1.0735181260108948	374	0.935	100	3.218555212020874	2.7362939453125	29	0.29	False
top_0	0	68	0.001	400	422.7579040527344	1.056894760131836	370	0.925	100	3.212315797805786	2.7300543212890624	29	0.29	False
top_0	0	69	0.001	400	424.9062690734863	1.0622656726837159	371	0.9275	100	3.2088639736175537	2.7266021728515626	29	0.29	False
top_0	0	70	0.001	400	422.3808822631836	1.0559522056579589	366	0.915	100	3.2048375606536865	2.722575988769531	28	0.28	False
top_0	0	71	0.001	400	418.29580307006836	1.045739507675171	371	0.9275	100	3.203718900680542	2.72145751953125	28	0.28	False
top_0	0	72	0.001	400	416.1861972808838	1.0404654932022095	371	0.9275	100	3.209235191345215	2.726973571777344	28	0.28	False
top_0	0	73	0.001	400	420.18276596069336	1.0504569149017333	375	0.9375	100	3.2099971771240234	2.7277352905273435	28	0.28	False
top_0	0	74	0.001	400	425.0030975341797	1.0625077438354493	370	0.925	100	3.203197479248047	2.7209356689453124	28	0.28	False
top_0	0	75	0.001	400	422.54786682128906	1.0563696670532225	370	0.925	100	3.206159830093384	2.7238983154296874	29	0.29	False
top_0	0	76	0.001	400	417.05149841308594	1.0426287460327148	369	0.9225	100	3.20481538772583	2.722553405761719	29	0.29	False
top_0	0	77	0.001	400	418.7972106933594	1.0469930267333984	372	0.93	100	3.202779531478882	2.720517883300781	29	0.29	False
top_0	0	78	0.001	400	415.37779998779297	1.0384444999694824	375	0.9375	100	3.190713405609131	2.7084521484375	29	0.29	True
top_0	0	79	0.001	400	426.04870986938477	1.0651217746734618	374	0.935	100	3.1973719596862793	2.7151104736328127	29	0.29	False
top_0	0	80	0.001	400	415.48521423339844	1.0387130355834961	375	0.9375	100	3.1906533241271973	2.7083917236328126	29	0.29	True
top_0	0	81	0.001	400	418.7689666748047	1.0469224166870117	371	0.9275	100	3.205820322036743	2.7235589599609376	29	0.29	False
top_0	0	82	0.001	400	416.2376251220703	1.0405940628051757	372	0.93	100	3.19670033454895	2.714438781738281	29	0.29	False
top_0	0	83	0.001	400	416.5858097076416	1.041464524269104	375	0.9375	100	3.188868284225464	2.7066070556640627	28	0.28	True
top_0	0	84	0.001	400	409.91093254089355	1.024777331352234	373	0.9325	100	3.1934962272644043	2.7112347412109377	29	0.29	False
top_0	0	85	0.001	400	411.78395080566406	1.02945987701416	377	0.9425	100	3.2000529766082764	2.7177911376953126	29	0.29	False
top_0	0	86	0.001	400	411.7951593399048	1.029487898349762	375	0.9375	100	3.200961112976074	2.7186993408203124	29	0.29	False
top_0	0	87	0.001	400	412.94224548339844	1.0323556137084962	370	0.925	100	3.1902029514312744	2.7079412841796877	28	0.28	False
top_0	0	88	0.001	400	412.5430335998535	1.0313575839996338	370	0.925	100	3.190469980239868	2.7082083129882815	29	0.29	False
top_0	0	89	0.001	400	409.0566120147705	1.0226415300369263	370	0.925	100	3.1832921504974365	2.701030578613281	29	0.29	True
top_0	0	90	0.001	400	414.3339567184448	1.035834891796112	372	0.93	100	3.176868200302124	2.6946066284179686	30	0.3	True
top_0	0	91	0.001	400	408.9516906738281	1.0223792266845704	373	0.9325	100	3.1816015243530273	2.699339599609375	29	0.29	False
top_0	0	92	0.001	400	413.90092277526855	1.0347523069381714	374	0.935	100	3.1781437397003174	2.6958822631835937	30	0.3	False
top_0	0	93	0.001	400	412.0197277069092	1.030049319267273	375	0.9375	100	3.167360782623291	2.6850991821289063	30	0.3	True
top_0	0	94	0.001	400	410.905704498291	1.0272642612457275	372	0.93	100	3.1679141521453857	2.6856524658203127	30	0.3	False
top_0	0	95	0.001	400	406.8057403564453	1.0170143508911134	372	0.93	100	3.1726415157318115	2.6903802490234376	31	0.31	False
top_0	0	96	0.001	400	405.8129653930664	1.014532413482666	375	0.9375	100	3.1727709770202637	2.6905096435546874	29	0.29	False
top_0	0	97	0.001	400	404.50342559814453	1.0112585639953613	372	0.93	100	3.1801629066467285	2.697901306152344	30	0.3	False
top_0	0	98	0.001	400	404.3507385253906	1.0108768463134765	375	0.9375	100	3.1749844551086426	2.6927224731445314	28	0.28	False
top_0	0	99	0.001	400	405.1386260986328	1.0128465652465821	375	0.9375	100	3.1779611110687256	2.695699462890625	29	0.29	False
top_0	0	100	0.001	400	403.6361560821533	1.0090903902053834	376	0.94	100	3.1728057861328125	2.6905441284179688	31	0.31	False
top_1	1	1	0.01	400	1846.7995910644531	4.616998977661133	8	0.02	100	4.654004096984863	4.171742553710938	1	0.01	True
top_1	1	2	0.01	400	1805.506851196289	4.5137671279907225	16	0.04	100	4.614696979522705	4.132435302734375	3	0.03	True
top_1	1	3	0.01	400	1768.5054626464844	4.421263656616211	28	0.07	100	4.588845252990723	4.106583557128906	3	0.03	True
top_1	1	4	0.01	400	1733.4810485839844	4.3337026214599605	58	0.145	100	4.578122615814209	4.095860900878907	5	0.05	True
top_1	1	5	0.01	400	1696.3556671142578	4.240889167785644	85	0.2125	100	4.555724620819092	4.073463134765625	5	0.05	True
top_1	1	6	0.01	400	1655.6917419433594	4.139229354858398	103	0.2575	100	4.537103652954102	4.05484130859375	4	0.04	True
top_1	1	7	0.01	400	1618.7181701660156	4.046795425415039	119	0.2975	100	4.518284320831299	4.03602294921875	5	0.05	True
top_1	1	8	0.01	400	1582.524227142334	3.956310567855835	138	0.345	100	4.502401828765869	4.020140380859375	5	0.05	True
top_1	1	9	0.01	400	1548.6456146240234	3.8716140365600586	139	0.3475	100	4.481542110443115	3.9992803955078124	5	0.05	True
top_1	1	10	0.01	400	1509.4225730895996	3.773556432723999	151	0.3775	100	4.468382358551025	3.9861209106445314	5	0.05	True
top_1	1	11	0.01	400	1473.7944831848145	3.684486207962036	160	0.4	100	4.443332195281982	3.961070556640625	5	0.05	True
top_1	1	12	0.01	400	1439.7497253417969	3.599374313354492	170	0.425	100	4.432129383087158	3.949867858886719	6	0.06	True
top_1	1	13	0.01	400	1404.41015625	3.511025390625	178	0.445	100	4.410062313079834	3.9278009033203123	7	0.07	True
top_1	1	14	0.01	400	1373.923469543457	3.4348086738586425	182	0.455	100	4.392703533172607	3.91044189453125	8	0.08	True
top_1	1	15	0.01	400	1338.2907257080078	3.3457268142700194	191	0.4775	100	4.368434906005859	3.886173095703125	9	0.09	True
top_1	1	16	0.01	400	1303.9292755126953	3.259823188781738	209	0.5225	100	4.356001377105713	3.873740234375	9	0.09	True
top_1	1	17	0.01	400	1273.279182434082	3.183197956085205	203	0.5075	100	4.334353923797607	3.852092590332031	9	0.09	True
top_1	1	18	0.01	400	1240.104866027832	3.10026216506958	217	0.5425	100	4.311145305633545	3.8288836669921875	9	0.09	True
top_1	1	19	0.01	400	1204.2220420837402	3.0105551052093507	223	0.5575	100	4.290613174438477	3.8083514404296874	9	0.09	True
top_1	1	20	0.01	400	1176.5111770629883	2.9412779426574707	241	0.6025	100	4.274031162261963	3.791769714355469	9	0.09	True
top_1	1	21	0.01	400	1145.8952751159668	2.864738187789917	243	0.6075	100	4.250006675720215	3.7677447509765627	9	0.09	True
top_1	1	22	0.01	400	1115.6056022644043	2.7890140056610107	255	0.6375	100	4.234270095825195	3.7520086669921877	11	0.11	True
top_1	1	23	0.01	400	1089.3368873596191	2.723342218399048	265	0.6625	100	4.213573932647705	3.731312255859375	12	0.12	True
top_1	1	24	0.01	400	1057.9816970825195	2.644954242706299	272	0.68	100	4.197658061981201	3.715396728515625	13	0.13	True
top_1	1	25	0.01	400	1028.6930084228516	2.571732521057129	276	0.69	100	4.166006565093994	3.6837445068359376	13	0.13	True
top_1	1	26	0.01	400	1001.0223655700684	2.5025559139251707	284	0.71	100	4.148721694946289	3.6664599609375	13	0.13	True
top_1	1	27	0.01	400	980.023494720459	2.4500587368011475	289	0.7225	100	4.126632213592529	3.6443701171875	12	0.12	True
