index	module_name	state_name	role	stage	block	conv_in_block	paired_bn	in_channels	out_channels	kernel_height	kernel_width	stride_height	stride_width	groups	weight_param_count	filter_param_count	filter_count	sample_count	weight_residual_filter_sum	weight_residual_filter_mean	conductance_signed_sum	conductance_abs_sum	conductance_abs_mean	necessity_kl	completeness_signed_error	completeness_mean_abs_sample_error	completeness_max_abs_sample_error
0	conv1	conv1.weight	stem	0	-1	1	bn1	3	64	7	7	2	2	1	9408	147	64	400	83.72524716098283	1.3082069868903567	1.7276882547476213	4.183794340354026	0.06537178656803165	1.7252550029754639	0.0024332517721574742	0.02808605059981346	0.3341331481933594
1	layer1.0.conv1	layer1.0.conv1.weight	main_conv1	1	0	1	layer1.0.bn1	64	64	3	3	1	1	1	36864	576	64	400	61.21398399472237	0.956468499917537	0.170418456317883	0.43657550819995655	0.006821492315624321	0.1703956377506256	2.2818567257387734e-05	0.0019525846373289824	0.02546098828315735
2	layer1.0.conv2	layer1.0.conv2.weight	main_conv2	1	0	2	layer1.0.bn2	64	64	3	3	1	1	1	36864	576	64	400	17.99566509068012	0.2811822670418769	0.33167718423582077	0.8032300629492055	0.012550469733581336	0.3317877149581909	-0.00011053072237016126	0.002879661461338401	0.029949486255645752
3	layer1.1.conv1	layer1.1.conv1.weight	main_conv1	1	1	1	layer1.1.bn1	64	64	3	3	1	1	1	36864	576	64	400	71.14939312815665	1.1117092676274476	0.17000267554064183	0.43033093590373955	0.0067239208734959305	0.17000773906707764	-5.063526435811205e-06	0.0024839357286691667	0.032446980476379395
4	layer1.1.conv2	layer1.1.conv2.weight	main_conv2	1	1	2	layer1.1.bn2	64	64	3	3	1	1	1	36864	576	64	400	16.65066614151001	0.2601666584610939	0.1922248515620402	0.5039916661818329	0.007874869784091139	0.19217469274997712	5.015881206307804e-05	0.001396540910936892	0.03169679641723633
5	layer2.0.conv1	layer2.0.conv1.weight	main_conv1	2	0	1	layer2.0.bn1	64	128	3	3	2	2	1	73728	576	128	400	126.32695712089541	0.9869293525069954	0.8755642913138872	2.2854267771515713	0.01785489669649665	0.8764873349666595	-0.0009230436527722929	0.01269997823983431	0.18480122089385986
6	layer2.0.conv2	layer2.0.conv2.weight	main_conv2	2	0	2	layer2.0.bn2	128	128	3	3	1	1	1	147456	1152	128	400	47.276959922909754	0.36935124939773245	1.249324349835569	3.0674328065628638	0.023964318801272373	1.248069257736206	0.001255092099363031	0.013657634742558003	0.12520933151245117
7	layer2.0.downsample.0	layer2.0.downsample.0.weight	downsample	2	0	0	layer2.0.downsample.1	64	128	1	1	2	2	1	8192	64	128	400	61.405375971794136	0.4797294997796417	0.688663220862804	1.884545706276985	0.014723013330288946	0.6889388012886047	-0.000275580425800781	0.0077053230814635755	0.08114409446716309
8	layer2.1.conv1	layer2.1.conv1.weight	main_conv1	2	1	1	layer2.1.bn1	128	128	3	3	1	1	1	147456	1152	128	400	73.70348473429677	0.5758084744866935	0.11008516662305788	0.41357259285369147	0.0032310358816694646	0.10971911370754242	0.0003660529155154607	0.0018960900232195853	0.03656125068664551
9	layer2.1.conv2	layer2.1.conv2.weight	main_conv2	2	1	2	layer2.1.bn2	128	128	3	3	1	1	1	147456	1152	128	400	28.276611354649052	0.22091102620819572	0.6251591325644015	2.560241333547365	0.020001885418338788	0.6280603694915772	-0.002901236927175699	0.007062236163765192	0.16335630416870117
